"",BBK01.OEAG05K,BBK01.OEAG05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:20,
2002-01,0.084,
2002-04,0.076,
2002-07,0.061,
2002-10,0.090,
2003-01,0.084,
2003-04,0.100,
2003-07,0.052,
2003-10,0.218,
2004-01,0.207,
2004-04,0.183,
2004-07,0.174,
2004-10,0.137,
2005-01,0.128,
2005-04,0.137,
2005-07,0.133,
2005-10,0.057,
2006-01,0.060,
2006-04,0.100,
2006-07,0.188,
2006-10,0.029,
2007-01,0.053,
2007-04,0.044,
2007-07,0.053,
2007-10,0.020,
2008-01,0.023,
2008-04,0.019,
2008-07,0.017,
2008-10,0.016,
2009-01,0.017,
2009-04,0.015,
2009-07,0.015,
2009-10,0.015,
2010-01,0.019,
2010-04,0.017,
2010-07,0.012,
2010-10,0.011,
2011-01,0.011,
2011-04,0.053,
2011-07,0.012,
2011-10,0.013,
2012-01,0.029,
2012-04,0.011,
2012-07,0.009,
2012-10,0.008,
2013-01,0.008,
2013-04,0.014,
2013-07,0.007,
2013-10,0.194,
2014-01,0.006,
2014-04,0.009,
2014-07,0.001,
