"",BBSF2.M.1.P.00000.TOT01.I.F.INV.IE.00000.F05200.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.INV.IE.00000.F05200.Z01.00_FLAGS
"",Public funds / Funds total / Investment fund shares / Ireland,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:46,
2009-09,1579,
2009-10,1615,
2009-11,1639,
2009-12,1823,
2010-01,1886,
2010-02,1935,
2010-03,2022,
2010-04,2103,
2010-05,2065,
2010-06,2064,
2010-07,2182,
2010-08,2356,
2010-09,2458,
2010-10,2632,
2010-11,2688,
2010-12,2859,
2011-01,3086,
2011-02,3133,
2011-03,3054,
2011-04,3131,
2011-05,3078,
2011-06,3114,
2011-07,3330,
2011-08,2854,
2011-09,2907,
2011-10,3077,
2011-11,3012,
2011-12,3220,
2012-01,3555,
2012-02,3459,
2012-03,3561,
2012-04,3707,
2012-05,3536,
2012-06,3592,
2012-07,3874,
2012-08,3763,
2012-09,3764,
2012-10,3813,
2012-11,3962,
2012-12,4093,
2013-01,4067,
2013-02,4274,
2013-03,4587,
2013-04,4777,
2013-05,5083,
2013-06,4734,
2013-07,5007,
2013-08,4942,
2013-09,5011,
2013-10,5272,
2013-11,5400,
2013-12,5389,
2014-01,5507,
2014-02,5580,
2014-03,5480,
2014-04,5492,
2014-05,5736,
2014-06,6022,
2014-07,6208,
2014-08,6588,
2014-09,6869,
2014-10,6838,
2014-11,7319,
