"",BBK01.OEAH11R,BBK01.OEAH11R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:36,
2002-01,6.735,
2002-04,6.566,
2002-07,6.627,
2002-10,6.822,
2003-01,6.860,
2003-04,6.777,
2003-07,6.804,
2003-10,6.940,
2004-01,6.922,
2004-04,6.858,
2004-07,6.849,
2004-10,6.955,
2005-01,7.556,
2005-04,7.502,
2005-07,7.486,
2005-10,7.591,
2006-01,7.561,
2006-04,7.518,
2006-07,7.498,
2006-10,7.523,
2007-01,7.547,
2007-04,7.477,
2007-07,7.459,
2007-10,7.589,
2008-01,7.590,
2008-04,7.554,
2008-07,7.485,
2008-10,7.725,
2009-01,7.732,
2009-04,7.695,
2009-07,7.721,
2009-10,7.921,
2010-01,7.888,
2010-04,7.838,
2010-07,7.805,
2010-10,7.983,
2011-01,8.027,
2011-04,8.018,
2011-07,7.985,
2011-10,8.062,
2012-01,8.111,
2012-04,8.106,
2012-07,8.114,
2012-10,8.142,
2013-01,8.109,
2013-04,8.021,
2013-07,8.005,
2013-10,8.046,
2014-01,8.033,
2014-04,7.957,
2014-07,8.004,
