"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.LU.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.LU.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Luxembourg,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:28,
2009-09,8859,
2009-10,9106,
2009-11,9007,
2009-12,9072,
2010-01,9068,
2010-02,8805,
2010-03,9300,
2010-04,9246,
2010-05,9445,
2010-06,9458,
2010-07,9665,
2010-08,9670,
2010-09,9702,
2010-10,9813,
2010-11,9910,
2010-12,9353,
2011-01,9578,
2011-02,9889,
2011-03,9790,
2011-04,9863,
2011-05,10058,
2011-06,10328,
2011-07,10662,
2011-08,10484,
2011-09,10279,
2011-10,10782,
2011-11,10734,
2011-12,11086,
2012-01,11495,
2012-02,11694,
2012-03,13781,
2012-04,14090,
2012-05,14605,
2012-06,14944,
2012-07,16532,
2012-08,16875,
2012-09,16994,
2012-10,17561,
2012-11,17727,
2012-12,17812,
2013-01,17938,
2013-02,18655,
2013-03,18853,
2013-04,19664,
2013-05,19946,
2013-06,19563,
2013-07,21199,
2013-08,22007,
2013-09,22129,
2013-10,21994,
2013-11,22308,
2013-12,21984,
2014-01,22199,
2014-02,22682,
2014-03,23108,
2014-04,22876,
2014-05,23246,
2014-06,24016,
2014-07,24569,
2014-08,24867,
2014-09,24181,
2014-10,24622,
2014-11,24675,
