"",BBK01.CELC101,BBK01.CELC101_FLAGS
"",Financial derivatives debtor: Non-financial corporations                               creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:46:57,
1999-01,0.1,
1999-04,0.1,
1999-07,0.0,
1999-10,0.0,
2000-01,0.0,
2000-04,0.0,
2000-07,0.1,
2000-10,0.1,
2001-01,0.1,
2001-04,0.1,
2001-07,0.2,
2001-10,0.2,
2002-01,0.1,
2002-04,0.1,
2002-07,0.3,
2002-10,0.1,
2003-01,0.2,
2003-04,0.1,
2003-07,-0.1,
2003-10,-0.1,
2004-01,0.4,
2004-04,-0.2,
2004-07,0.0,
2004-10,-1.6,
2005-01,0.2,
2005-04,-0.3,
2005-07,1.7,
2005-10,1.2,
2006-01,1.5,
2006-04,1.3,
2006-07,0.8,
2006-10,1.0,
2007-01,0.4,
2007-04,0.2,
2007-07,-0.3,
2007-10,0.1,
2008-01,0.4,
2008-04,-2.7,
2008-07,-2.0,
2008-10,-3.0,
2009-01,3.9,
2009-04,-4.3,
2009-07,0.4,
2009-10,0.1,
2010-01,-0.2,
2010-04,1.7,
2010-07,0.1,
2010-10,-2.7,
2011-01,0.6,
2011-04,4.3,
2011-07,10.2,
2011-10,-0.3,
2012-01,3.1,
2012-04,2.7,
2012-07,-2.4,
2012-10,4.7,
2013-01,-8.9,
2013-04,15.0,
2013-07,1.7,
2013-10,-4.0,
2014-01,2.3,
2014-04,2.5,
2014-07,2.5,
