"",BBK01.OELJ04R,BBK01.OELJ04R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:41,
2002-01,0.112,
2002-04,0.093,
2002-07,0.090,
2002-10,0.101,
2003-01,0.093,
2003-04,0.082,
2003-07,0.083,
2003-10,0.108,
2004-01,0.092,
2004-04,0.090,
2004-07,0.080,
2004-10,0.101,
2005-01,0.091,
2005-04,0.078,
2005-07,0.067,
2005-10,0.078,
2006-01,0.085,
2006-04,0.085,
2006-07,0.091,
2006-10,0.098,
2007-01,0.108,
2007-04,0.099,
2007-07,0.106,
2007-10,0.110,
2008-01,0.122,
2008-04,0.119,
2008-07,0.123,
2008-10,0.120,
2009-01,0.130,
2009-04,0.114,
2009-07,0.100,
2009-10,0.098,
2010-01,0.093,
2010-04,0.087,
2010-07,0.090,
2010-10,0.108,
2011-01,0.105,
2011-04,0.090,
2011-07,0.093,
2011-10,0.106,
2012-01,0.097,
2012-04,0.111,
2012-07,0.108,
2012-10,0.101,
2013-01,0.093,
2013-04,0.083,
2013-07,0.076,
2013-10,0.068,
2014-01,0.062,
2014-04,0.060,
2014-07,0.065,
