"",BBK01.OEXB14L,BBK01.OEXB14L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:39,
2002-01,0.648,
2002-04,0.669,
2002-07,0.614,
2002-10,0.710,
2003-01,0.813,
2003-04,0.837,
2003-07,0.769,
2003-10,0.742,
2004-01,0.941,
2004-04,0.949,
2004-07,0.943,
2004-10,0.977,
2005-01,0.935,
2005-04,0.825,
2005-07,0.737,
2005-10,0.731,
2006-01,0.721,
2006-04,0.648,
2006-07,0.577,
2006-10,0.539,
2007-01,0.595,
2007-04,0.549,
2007-07,0.583,
2007-10,0.718,
2008-01,0.688,
2008-04,0.666,
2008-07,0.744,
2008-10,0.811,
2009-01,0.873,
2009-04,0.881,
2009-07,0.777,
2009-10,0.848,
2010-01,0.863,
2010-04,0.848,
2010-07,0.868,
2010-10,0.916,
2011-01,0.904,
2011-04,0.927,
2011-07,0.917,
2011-10,0.863,
2012-01,0.801,
2012-04,0.768,
2012-07,0.747,
2012-10,0.786,
2013-01,0.746,
2013-04,0.715,
2013-07,0.679,
2013-10,0.670,
2014-01,0.626,
2014-04,0.624,
2014-07,0.554,
