"",BBDE1.M.DE.Y.AEN5.A2P300000.F.C.I10.A,BBDE1.M.DE.Y.AEN5.A2P300000.F.C.I10.A_FLAGS
"","Orders received excluding large orders, foreign / At constant prices / Germany / Industry / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:20:05,
2010-01,90.5,
2010-02,92.4,
2010-03,94.5,
2010-04,98.4,
2010-05,99.0,
2010-06,98.3,
2010-07,101.0,
2010-08,102.8,
2010-09,102.2,
2010-10,103.0,
2010-11,107.6,
2010-12,106.9,
2011-01,111.0,
2011-02,108.5,
2011-03,108.3,
2011-04,106.7,
2011-05,105.9,
2011-06,105.1,
2011-07,107.0,
2011-08,107.3,
2011-09,105.8,
2011-10,105.6,
2011-11,103.2,
2011-12,105.0,
2012-01,104.5,
2012-02,105.4,
2012-03,105.5,
2012-04,104.6,
2012-05,107.0,
2012-06,103.6,
2012-07,105.9,
2012-08,104.9,
2012-09,103.9,
2012-10,106.2,
2012-11,104.6,
2012-12,106.6,
2013-01,104.3,
2013-02,105.6,
2013-03,106.5,
2013-04,107.2,
2013-05,107.1,
2013-06,107.1,
2013-07,106.2,
2013-08,107.2,
2013-09,109.4,
2013-10,110.2,
2013-11,109.4,
2013-12,109.6,
2014-01,112.9,
2014-02,111.9,
2014-03,109.7,
2014-04,111.1,
2014-05,107.6,
2014-06,109.9,
2014-07,111.7,
2014-08,107.3,
2014-09,112.8,
2014-10,115.8,
2014-11,116.0,
2014-12,116.7,Provisional value
