"",BBK01.OXG7C1,BBK01.OXG7C1_FLAGS
"",Trading portfolio derivatives (included in other assets) / Landesbanken,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 08:24:45,
2010-12,143.003,
2011-01,145.669,
2011-02,139.707,
2011-03,122.780,
2011-04,119.335,
2011-05,123.746,
2011-06,119.329,
2011-07,128.188,
2011-08,148.564,
2011-09,171.311,
2011-10,174.911,
2011-11,168.759,
2011-12,176.822,
2012-01,189.290,
2012-02,189.367,
2012-03,183.651,
2012-04,185.838,
2012-05,212.989,
2012-06,205.958,
2012-07,202.615,
2012-08,208.140,
2012-09,197.932,
2012-10,189.767,
2012-11,167.613,
2012-12,155.191,
2013-01,142.051,
2013-02,137.726,
2013-03,132.879,
2013-04,132.044,
2013-05,123.497,
2013-06,109.004,
2013-07,103.129,
2013-08,97.437,
2013-09,96.342,
2013-10,95.301,
2013-11,93.402,
2013-12,83.936,
2014-01,85.720,
2014-02,87.027,
2014-03,85.214,
2014-04,85.735,
2014-05,89.258,
2014-06,91.016,
2014-07,92.290,
2014-08,100.867,
2014-09,103.360,
2014-10,103.129,
2014-11,105.963,
2014-12,106.064,Provisional value
