"",BBK01.OEHB17K,BBK01.OEHB17K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:42,
2002-01,9.853,
2002-04,10.100,
2002-07,10.128,
2002-10,10.298,
2003-01,9.159,
2003-04,9.268,
2003-07,9.408,
2003-10,9.503,
2004-01,9.575,
2004-04,9.545,
2004-07,10.066,
2004-10,9.970,
2005-01,9.952,
2005-04,10.242,
2005-07,10.163,
2005-10,10.144,
2006-01,10.024,
2006-04,10.081,
2006-07,10.084,
2006-10,10.102,
2007-01,10.056,
2007-04,10.036,
2007-07,9.851,
2007-10,9.845,
2008-01,9.835,
2008-04,9.842,
2008-07,9.877,
2008-10,9.882,
2009-01,9.884,
2009-04,9.973,
2009-07,10.372,
2009-10,10.428,
2010-01,10.453,
2010-04,10.577,
2010-07,10.778,
2010-10,10.897,
2011-01,10.995,
2011-04,11.152,
2011-07,11.315,
2011-10,11.402,
2012-01,11.462,
2012-04,11.569,
2012-07,11.613,
2012-10,11.673,
2013-01,11.706,
2013-04,11.771,
2013-07,11.482,
2013-10,11.375,
2014-01,11.146,
2014-04,11.099,
2014-07,10.909,
