"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.JP.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.JP.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Japan / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:55,
2009-09,129,
2009-10,119,
2009-11,164,
2009-12,155,
2010-01,166,
2010-02,148,
2010-03,142,
2010-04,144,
2010-05,158,
2010-06,153,
2010-07,148,
2010-08,173,
2010-09,311,
2010-10,320,
2010-11,297,
2010-12,331,
2011-01,319,
2011-02,315,
2011-03,312,
2011-04,313,
2011-05,208,
2011-06,203,
2011-07,204,
2011-08,185,
2011-09,195,
2011-10,192,
2011-11,209,
2011-12,190,
2012-01,190,
2012-02,174,
2012-03,178,
2012-04,197,
2012-05,197,
2012-06,188,
2012-07,196,
2012-08,191,
2012-09,205,
2012-10,200,
2012-11,191,
2012-12,182,
2013-01,173,
2013-02,183,
2013-03,190,
2013-04,198,
2013-05,195,
2013-06,200,
2013-07,161,
2013-08,162,
2013-09,166,
2013-10,162,
2013-11,131,
2013-12,131,
2014-01,140,
2014-02,142,
2014-03,145,
2014-04,151,
2014-05,163,
2014-06,162,
2014-07,167,
2014-08,169,
2014-09,166,
2014-10,175,
2014-11,194,
