"",BBK01.OEAD08H,BBK01.OEAD08H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:45,
2002-01,6.792,
2002-04,6.722,
2002-07,6.664,
2002-10,6.407,
2003-01,6.276,
2003-04,6.244,
2003-07,6.170,
2003-10,6.072,
2004-01,5.943,
2004-04,5.957,
2004-07,5.800,
2004-10,5.566,
2005-01,5.622,
2005-04,5.469,
2005-07,5.308,
2005-10,5.043,
2006-01,5.547,
2006-04,5.474,
2006-07,5.457,
2006-10,5.433,
2007-01,5.153,
2007-04,5.462,
2007-07,5.604,
2007-10,5.608,
2008-01,5.618,
2008-04,5.615,
2008-07,5.635,
2008-10,5.264,
2009-01,5.219,
2009-04,5.037,
2009-07,4.874,
2009-10,4.632,
2010-01,4.737,
2010-04,4.891,
2010-07,4.876,
2010-10,4.841,
2011-01,4.877,
2011-04,4.866,
2011-07,5.009,
2011-10,4.875,
2012-01,4.881,
2012-04,4.916,
2012-07,4.878,
2012-10,4.882,
2013-01,4.905,
2013-04,5.049,
2013-07,5.011,
2013-10,4.807,
2014-01,4.744,
2014-04,4.841,
2014-07,4.805,
