"",BBFN1.M.DE.N.1.L.AR.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.AR.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Argentina,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:22:06,
1994-07,0.607,
1994-08,0.592,
1994-09,0.599,
1994-10,0.619,
1994-11,0.603,
1994-12,0.616,
1995-01,0.630,
1995-02,0.616,
1995-03,0.630,
1995-04,0.630,
1995-05,0.636,
1995-06,0.635,
1995-07,0.645,
1995-08,0.647,
1995-09,0.661,
1995-10,0.669,
1995-11,0.680,
1995-12,0.699,
1996-01,0.709,
1996-02,0.720,
1996-03,0.723,
1996-04,0.744,
1996-05,0.753,
1996-06,0.757,
1996-07,0.772,
1996-08,0.708,
1996-09,0.712,
1996-10,0.715,
1996-11,0.709,
1996-12,0.781,
1997-01,0.794,
1997-02,0.803,
1997-03,0.677,
1997-04,0.680,
1997-05,0.683,
1997-06,0.716,
1997-07,0.730,
1997-08,0.713,
1997-09,0.718,
1997-10,0.715,
1997-11,0.712,
1997-12,0.794,
1998-01,0.732,
1998-02,0.757,
1998-03,0.766,
1998-04,0.782,
1998-05,0.803,
1998-06,0.257,
1998-07,0.271,
1998-08,0.246,
1998-09,0.215,
1998-10,0.219,
1998-11,0.236,
1998-12,0.224,
1999-01,0.261,
1999-02,0.253,
1999-03,0.206,
1999-04,0.197,
1999-05,0.183,
1999-06,0.257,
1999-07,0.240,
1999-08,0.239,
1999-09,0.192,
1999-10,0.184,
1999-11,0.219,
1999-12,0.192,
2000-01,0.185,
2000-02,0.180,
2000-03,0.177,
2000-04,0.201,
2000-05,0.308,
2000-06,0.311,
2000-07,0.309,
2000-08,0.300,
2000-09,0.382,
2000-10,0.443,
2000-11,0.755,
2000-12,0.372,
2001-01,0.454,
2001-02,0.382,
2001-03,0.388,
2001-04,0.396,
2001-05,0.245,
2001-06,0.306,
2001-07,0.233,
2001-08,0.261,
2001-09,0.266,
2001-10,0.257,
2001-11,0.266,
2001-12,0.252,
2002-01,0.255,
2002-02,0.256,
2002-03,0.260,
2002-04,0.270,
2002-05,0.288,
2002-06,0.236,
2002-07,0.221,
2002-08,0.225,
2002-09,0.217,
2002-10,0.237,
2002-11,0.210,
2002-12,0.212,
2003-01,0.216,
2003-02,0.211,
2003-03,0.205,
2003-04,0.198,
2003-05,0.238,
2003-06,0.184,
2003-07,0.205,
2003-08,0.200,
2003-09,0.198,
2003-10,0.188,
2003-11,0.181,
2003-12,0.148,
2004-01,0.148,
2004-02,0.161,
2004-03,0.165,
2004-04,0.169,
2004-05,0.167,
2004-06,0.164,
2004-07,0.185,
2004-08,0.203,
2004-09,0.157,
2004-10,0.172,
2004-11,0.177,
2004-12,0.181,
2005-01,0.159,
2005-02,0.160,
2005-03,0.160,
2005-04,0.163,
2005-05,0.197,
2005-06,0.167,
2005-07,0.181,
2005-08,0.170,
2005-09,0.186,
2005-10,0.177,
2005-11,0.168,
2005-12,0.198,
2006-01,0.210,
2006-02,0.212,
2006-03,0.218,
2006-04,0.233,
2006-05,0.248,
2006-06,0.281,
2006-07,0.284,
2006-08,0.339,
2006-09,0.343,
2006-10,0.321,
2006-11,0.313,
2006-12,0.308,
2007-01,0.372,
2007-02,0.373,
2007-03,0.361,
2007-04,0.387,
2007-05,0.395,
2007-06,0.381,
2007-07,0.425,
2007-08,0.473,
2007-09,0.441,
2007-10,0.453,
2007-11,0.428,
2007-12,0.414,
2008-01,0.288,
2008-02,0.280,
2008-03,0.274,
2008-04,0.293,
2008-05,0.334,
2008-06,0.283,
2008-07,0.271,
2008-08,0.280,
2008-09,0.260,
2008-10,0.279,
2008-11,0.272,
2008-12,0.311,
2009-01,0.248,
2009-02,0.246,
2009-03,0.248,
2009-04,0.255,
2009-05,0.296,
2009-06,0.253,
2009-07,0.248,
2009-08,0.256,
2009-09,0.237,
2009-10,0.236,
2009-11,0.242,
2009-12,0.253,
2010-01,0.252,
2010-02,0.208,
2010-03,0.226,
2010-04,0.245,
2010-05,0.302,
2010-06,0.263,
2010-07,0.229,
2010-08,0.224,
2010-09,0.262,
2010-10,0.235,
2010-11,0.190,
2010-12,0.170,
2011-01,0.173,
2011-02,0.202,
2011-03,0.209,
2011-04,0.230,
2011-05,0.239,
2011-06,0.283,
2011-07,0.252,
2011-08,0.254,
2011-09,0.335,
2011-10,0.278,
2011-11,0.255,
2011-12,0.300,
2012-01,0.260,
2012-02,0.219,
2012-03,0.274,
2012-04,0.273,
2012-05,0.284,
2012-06,0.282,
2012-07,0.212,
2012-08,0.210,
2012-09,0.250,
2012-10,0.212,
2012-11,0.215,
2012-12,0.235,
2013-01,0.225,
2013-02,0.237,
2013-03,0.239,
2013-04,0.243,
2013-05,0.245,
2013-06,0.251,
2013-07,0.289,
2013-08,0.299,
2013-09,0.278,
2013-10,0.268,
2013-11,0.305,
2013-12,0.407,
2014-01,0.305,
2014-02,0.307,
2014-03,0.324,
2014-04,0.303,
2014-05,0.320,
2014-06,0.343,
2014-07,0.323,
2014-08,0.386,
2014-09,0.358,
2014-10,0.357,
2014-11,0.304,
2014-12,0.315,
