"",BBK01.OEBJ03R,BBK01.OEBJ03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:20,
2002-01,0.396,
2002-04,0.378,
2002-07,0.395,
2002-10,0.381,
2003-01,0.358,
2003-04,0.385,
2003-07,0.327,
2003-10,0.331,
2004-01,0.319,
2004-04,0.270,
2004-07,0.259,
2004-10,0.275,
2005-01,0.249,
2005-04,0.206,
2005-07,0.218,
2005-10,0.221,
2006-01,0.245,
2006-04,0.275,
2006-07,0.258,
2006-10,0.248,
2007-01,0.317,
2007-04,0.367,
2007-07,0.425,
2007-10,0.498,
2008-01,0.596,
2008-04,0.567,
2008-07,0.665,
2008-10,0.526,
2009-01,0.204,
2009-04,0.173,
2009-07,0.170,
2009-10,0.148,
2010-01,0.139,
2010-04,0.130,
2010-07,0.131,
2010-10,0.152,
2011-01,0.187,
2011-04,0.187,
2011-07,0.205,
2011-10,0.643,
2012-01,0.705,
2012-04,0.816,
2012-07,0.872,
2012-10,0.866,
2013-01,0.873,
2013-04,0.879,
2013-07,0.869,
2013-10,0.866,
2014-01,0.836,
2014-04,0.892,
2014-07,0.646,
