"",BBFB1.M.N.DE.W1.S1.S1.T.D.SF._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.D.SF._Z._Z._Z._T._X.N_FLAGS
"",Current account / Insurance and pension services / Expenditure / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:27,
1991-01,51.937,
1991-02,51.990,
1991-03,52.043,
1991-04,52.766,
1991-05,52.823,
1991-06,52.881,
1991-07,52.984,
1991-08,53.047,
1991-09,53.108,
1991-10,56.937,
1991-11,57.008,
1991-12,57.080,
1992-01,57.247,
1992-02,57.320,
1992-03,57.398,
1992-04,54.312,
1992-05,54.391,
1992-06,54.472,
1992-07,54.561,
1992-08,54.646,
1992-09,54.731,
1992-10,55.615,
1992-11,55.703,
1992-12,55.803,
1993-01,56.668,
1993-02,56.414,
1993-03,56.584,
1993-04,56.028,
1993-05,56.547,
1993-06,55.825,
1993-07,57.413,
1993-08,55.945,
1993-09,57.575,
1993-10,58.404,
1993-11,57.535,
1993-12,58.328,
1994-01,59.894,
1994-02,56.959,
1994-03,57.361,
1994-04,60.126,
1994-05,57.800,
1994-06,58.590,
1994-07,59.637,
1994-08,58.857,
1994-09,58.973,
1994-10,60.966,
1994-11,60.862,
1994-12,60.011,
1995-01,60.973,
1995-02,61.419,
1995-03,60.509,
1995-04,62.425,
1995-05,62.082,
1995-06,61.778,
1995-07,64.090,
1995-08,64.516,
1995-09,63.824,
1995-10,66.339,
1995-11,66.154,
1995-12,66.634,
1996-01,68.911,
1996-02,69.080,
1996-03,69.796,
1996-04,72.308,
1996-05,71.821,
1996-06,71.827,
1996-07,78.148,
1996-08,77.102,
1996-09,77.361,
1996-10,85.233,
1996-11,83.281,
1996-12,82.909,
1997-01,92.843,
1997-02,90.922,
1997-03,90.340,
1997-04,96.737,
1997-05,94.525,
1997-06,95.431,
1997-07,98.899,
1997-08,97.046,
1997-09,98.218,
1997-10,97.203,
1997-11,96.003,
1997-12,94.497,
1998-01,94.412,
1998-02,92.604,
1998-03,93.266,
1998-04,92.259,
1998-05,89.273,
1998-06,90.676,
1998-07,93.847,
1998-08,91.863,
1998-09,92.542,
1998-10,98.718,
1998-11,96.644,
1998-12,98.750,
1999-01,104.182,
1999-02,106.320,
1999-03,107.320,
1999-04,109.778,
1999-05,109.549,
1999-06,110.152,
1999-07,115.802,
1999-08,107.564,
1999-09,109.189,
1999-10,101.366,
1999-11,102.983,
1999-12,102.888,
2000-01,90.142,
2000-02,90.596,
2000-03,94.227,
2000-04,83.085,
2000-05,86.744,
2000-06,85.089,
2000-07,81.919,
