"",BBK01.OELM02I,BBK01.OELM02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:42:33,
2002-01,0.004,
2002-04,0.001,
2002-07,0.001,
2002-10,0.021,
2003-01,0.012,
2003-04,0.008,
2003-07,0.019,
2003-10,0.018,
2004-01,0.043,
2004-04,0.030,
2004-07,0.126,
2004-10,0.040,
2005-01,0.122,
2005-04,0.134,
2005-07,0.301,
2005-10,0.644,
2006-01,0.684,
2006-04,0.603,
2006-07,0.646,
2006-10,0.810,
2007-01,0.679,
2007-04,0.539,
2007-07,0.565,
2007-10,0.671,
2008-01,0.409,
2008-04,0.476,
2008-07,0.472,
2008-10,0.354,
2009-01,0.461,
2009-04,0.365,
2009-07,0.331,
2009-10,0.545,
2010-01,0.381,
2010-04,0.333,
2010-07,0.304,
2010-10,0.232,
2011-01,0.218,
2011-04,0.179,
2011-07,0.175,
2011-10,0.016,
2012-01,0.026,
2012-04,0.049,
2012-07,0.353,
2012-10,0.539,
2013-01,0.501,
2013-04,0.654,
2013-07,0.659,
2013-10,0.795,
2014-01,0.554,
2014-04,0.357,
2014-07,0.605,
