"",BBK01.OEHL06S,BBK01.OEHL06S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:05,
2002-01,1.148,
2002-04,1.190,
2002-07,1.196,
2002-10,1.200,
2003-01,1.187,
2003-04,1.176,
2003-07,1.199,
2003-10,1.242,
2004-01,1.285,
2004-04,1.300,
2004-07,1.296,
2004-10,1.315,
2005-01,1.294,
2005-04,1.289,
2005-07,1.223,
2005-10,1.182,
2006-01,1.121,
2006-04,1.094,
2006-07,1.086,
2006-10,1.060,
2007-01,1.028,
2007-04,1.022,
2007-07,1.027,
2007-10,1.027,
2008-01,1.013,
2008-04,0.992,
2008-07,0.996,
2008-10,1.005,
2009-01,0.985,
2009-04,0.968,
2009-07,0.886,
2009-10,0.846,
2010-01,0.778,
2010-04,0.713,
2010-07,0.699,
2010-10,0.676,
2011-01,0.674,
2011-04,0.679,
2011-07,0.662,
2011-10,0.641,
2012-01,0.641,
2012-04,0.645,
2012-07,0.638,
2012-10,0.610,
2013-01,0.610,
2013-04,0.603,
2013-07,0.587,
2013-10,0.572,
2014-01,0.551,
2014-04,0.527,
2014-07,0.506,
