"",BBSF2.M.1.S.I0122.SON01.I.F.MAK.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.SON01.I.F.MAK.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Other funds / Net sales receipts / Domestic credit institutions / Distribution and cumulative funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:53:49,
2009-09,-,Nothing exists
2009-10,-,Nothing exists
2009-11,7,
2009-12,103,
2010-01,-,Nothing exists
2010-02,20,
2010-03,-,Nothing exists
2010-04,25,
2010-05,-,Nothing exists
2010-06,-,Nothing exists
2010-07,529,
2010-08,-9,
2010-09,-518,
2010-10,73,
2010-11,-,Nothing exists
2010-12,2,
2011-01,-,Nothing exists
2011-02,20,
2011-03,-,Nothing exists
2011-04,36,
2011-05,125,
2011-06,-,Nothing exists
2011-07,-,Nothing exists
2011-08,60,
2011-09,16,
2011-10,5,
2011-11,98,
2011-12,50,
2012-01,130,
2012-02,40,
2012-03,67,
2012-04,6,
2012-05,-,Nothing exists
2012-06,12,
2012-07,-,Nothing exists
2012-08,3,
2012-09,26,
2012-10,-,Nothing exists
2012-11,14,
2012-12,27,
2013-01,14,
2013-02,-,Nothing exists
2013-03,34,
2013-04,10,
2013-05,-,Nothing exists
2013-06,33,
2013-07,9,
2013-08,5,
2013-09,42,
2013-10,6,
2013-11,7,
2013-12,-3,
2014-01,-4,
2014-02,-34,
2014-03,71,
2014-04,16,
2014-05,54,
2014-06,16,
2014-07,0,
2014-08,1,
2014-09,48,
2014-10,25,
2014-11,495,
