"",BBSF2.M.1.T.00000.TOT01.I.F.INV.DK.00000.F05200.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.INV.DK.00000.F05200.Z01.00_FLAGS
"",Funds total / Funds total / Investment fund shares / Denmark,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:56,
2009-09,6,
2009-10,11,
2009-11,9,
2009-12,30,
2010-01,30,
2010-02,31,
2010-03,33,
2010-04,36,
2010-05,37,
2010-06,38,
2010-07,35,
2010-08,35,
2010-09,37,
2010-10,37,
2010-11,37,
2010-12,39,
2011-01,38,
2011-02,36,
2011-03,8,
2011-04,4,
2011-05,4,
2011-06,4,
2011-07,6,
2011-08,5,
2011-09,3,
2011-10,4,
2011-11,4,
2011-12,5,
2012-01,4,
2012-02,18,
2012-03,16,
2012-04,16,
2012-05,20,
2012-06,22,
2012-07,24,
2012-08,22,
2012-09,25,
2012-10,27,
2012-11,29,
2012-12,30,
2013-01,27,
2013-02,28,
2013-03,31,
2013-04,32,
2013-05,32,
2013-06,32,
2013-07,33,
2013-08,32,
2013-09,32,
2013-10,33,
2013-11,34,
2013-12,34,
2014-01,34,
2014-02,34,
2014-03,33,
2014-04,34,
2014-05,34,
2014-06,35,
2014-07,38,
2014-08,39,
2014-09,36,
2014-10,40,
2014-11,41,
