"",BBK01.OEAE33H,BBK01.OEAE33H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:16,
2002-01,20.745,
2002-04,19.799,
2002-07,19.690,
2002-10,19.400,
2003-01,19.190,
2003-04,19.035,
2003-07,18.643,
2003-10,18.427,
2004-01,17.935,
2004-04,17.417,
2004-07,16.725,
2004-10,16.124,
2005-01,15.913,
2005-04,15.580,
2005-07,15.374,
2005-10,15.399,
2006-01,15.293,
2006-04,15.065,
2006-07,14.700,
2006-10,14.395,
2007-01,14.163,
2007-04,13.784,
2007-07,13.585,
2007-10,13.066,
2008-01,12.746,
2008-04,12.490,
2008-07,12.274,
2008-10,12.578,
2009-01,12.325,
2009-04,11.010,
2009-07,11.027,
2009-10,10.590,
2010-01,11.511,
2010-04,10.722,
2010-07,10.577,
2010-10,10.551,
2011-01,10.407,
2011-04,10.496,
2011-07,10.482,
2011-10,10.517,
2012-01,10.410,
2012-04,10.619,
2012-07,10.702,
2012-10,10.876,
2013-01,10.965,
2013-04,11.122,
2013-07,11.574,
2013-10,11.600,
2014-01,11.637,
2014-04,11.337,
2014-07,11.417,
