"",BBK01.OEYB15J,BBK01.OEYB15J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:53,
2002-01,0.029,
2002-04,0.026,
2002-07,0.032,
2002-10,0.035,
2003-01,0.034,
2003-04,0.032,
2003-07,0.031,
2003-10,0.034,
2004-01,0.028,
2004-04,0.032,
2004-07,0.031,
2004-10,0.032,
2005-01,0.031,
2005-04,0.029,
2005-07,0.027,
2005-10,0.023,
2006-01,0.024,
2006-04,0.028,
2006-07,0.025,
2006-10,0.024,
2007-01,0.024,
2007-04,0.023,
2007-07,0.027,
2007-10,0.034,
2008-01,0.034,
2008-04,0.034,
2008-07,0.013,
2008-10,0.016,
2009-01,0.015,
2009-04,0.013,
2009-07,0.012,
2009-10,0.010,
2010-01,0.011,
2010-04,0.008,
2010-07,0.009,
2010-10,0.008,
2011-01,0.009,
2011-04,0.008,
2011-07,0.008,
2011-10,0.007,
2012-01,0.007,
2012-04,0.007,
2012-07,0.007,
2012-10,0.007,
2013-01,0.006,
2013-04,0.006,
2013-07,0.005,
2013-10,0.004,
2014-01,0.005,
2014-04,0.005,
2014-07,0.004,
