"",BBEX3.M.MYR.EUR.CA.AC.A01,BBEX3.M.MYR.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Malaysia  / EUR 1 = MYR ... (middle),
unit,MYR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:34,
1999-01,4.31950,
1999-02,4.18600,
1999-03,4.07900,
1999-04,4.03800,
1999-05,3.96750,
1999-06,3.92350,
1999-07,4.06900,
1999-08,3.98500,
1999-09,4.04200,
1999-10,4.00100,
1999-11,3.83650,
1999-12,3.82100,
2000-01,3.72000,
2000-02,3.69250,
2000-03,3.65350,
2000-04,3.46550,
2000-05,3.53600,
2000-06,3.62050,
2000-07,3.51200,
2000-08,3.39200,
2000-09,3.36250,
2000-10,3.19600,
2000-11,3.25650,
2000-12,3.57900,
2001-01,3.52200,
2001-02,3.48850,
2001-03,3.32600,
2001-04,3.38750,
2001-05,3.25350,
2001-06,3.21750,
2001-07,3.32200,
2001-08,3.45000,
2001-09,3.46400,
2001-10,3.44550,
2001-11,3.36950,
2001-12,3.35650,
2002-01,3.27400,
2002-02,3.29050,
2002-03,3.31300,
2002-04,3.43350,
2002-05,3.56150,
2002-06,3.76650,
2002-07,3.73900,
2002-08,3.74300,
2002-09,3.73600,
2002-10,3.73900,
2002-11,3.77650,
2002-12,3.97900,
2003-01,4.11450,
2003-02,4.08350,
2003-03,4.10600,
2003-04,4.22150,
2003-05,4.51550,
2003-06,4.34050,
2003-07,4.31450,
2003-08,4.13800,
2003-09,4.40000,
2003-10,4.41750,
2003-11,4.52900,
2003-12,4.76965,
2004-01,4.71500,
2004-02,4.72885,
2004-03,4.62775,
2004-04,4.54375,
2004-05,4.48680,comment
2004-06,4.59320,
2004-07,4.57565,
2004-08,4.56125,
2004-09,4.68590,
2004-10,4.84335,
2004-11,5.04255,
2004-12,5.17745,
2005-01,4.94790,
2005-02,5.02905,
2005-03,4.91160,
2005-04,4.90475,
2005-05,4.71100,
2005-06,4.59525,
2005-07,4.55190,
2005-08,4.60710,
2005-09,4.53220,
2005-10,4.54975,
2005-11,4.44670,
2005-12,4.47780,
2006-01,4.57620,
2006-02,4.39755,
2006-03,4.47855,
2006-04,4.54305,
2006-05,4.66010,
2006-06,4.65625,
2006-07,4.66080,
2006-08,4.71680,
2006-09,4.68490,
2006-10,4.63225,
2006-11,4.77315,
2006-12,4.64020,
2007-01,4.53720,
2007-02,4.64085,
2007-03,4.60220,
2007-04,4.66345,
2007-05,4.55960,
2007-06,4.63655,
2007-07,4.73590,
2007-08,4.76890,
2007-09,4.83240,
2007-10,4.79830,
2007-11,4.97560,
2007-12,4.88470,
2008-01,4.80455,
2008-02,4.86390,
2008-03,5.04815,
2008-04,4.90635,
2008-05,5.04720,
2008-06,5.15970,
2008-07,5.08460,
2008-08,4.98160,
2008-09,4.95605,
2008-10,4.50500,
2008-11,4.65940,
2008-12,4.87925,
2009-01,4.66380,
2009-02,4.69750,
2009-03,4.82525,
2009-04,4.75410,
2009-05,4.90010,
2009-06,4.98180,
2009-07,4.96700,
2009-08,5.07935,
2009-09,5.08555,
2009-10,5.05390,
2009-11,5.08500,
2009-12,4.91565,
2010-01,4.80800,
2010-02,4.71600,comment
2010-03,4.38945,
2010-04,4.22390,
2010-05,4.01570,
2010-06,3.98115,
2010-07,4.17000,
2010-08,3.99515,
2010-09,4.20295,
2010-10,4.32625,
2010-11,4.14530,
2010-12,4.08600,
2011-01,4.16160,
2011-02,4.19110,
2011-03,4.27690,
2011-04,4.40690,
2011-05,4.31315,
2011-06,4.37590,
2011-07,4.22825,
2011-08,4.31405,
2011-09,4.32470,
2011-10,4.33670,
2011-11,4.22785,
2011-12,4.10690,
2012-01,4.01440,
2012-02,4.04075,
2012-03,4.08615,
2012-04,4.01800,
2012-05,3.93870,
2012-06,3.97710,
2012-07,3.86300,
2012-08,3.91765,
2012-09,3.96170,
2012-10,3.95340,
2012-11,3.95035,
2012-12,4.05290,
2013-01,4.18560,
2013-02,4.06095,
2013-03,3.95480,
2013-04,3.96695,
2013-05,4.00345,
2013-06,4.14120,
2013-07,4.30515,
2013-08,4.36325,
2013-09,4.39295,
2013-10,4.33540,
2013-11,4.39585,
2013-12,4.54085,
2014-01,4.57050,
2014-02,4.48835,
2014-03,4.48690,
2014-04,4.50200,
2014-05,4.37085,
2014-06,4.38175,
2014-07,4.27180,
2014-08,4.16370,
2014-09,4.15685,
2014-10,4.13760,
2014-11,4.18630,
2014-12,4.24940,
2015-01,4.11530,
2015-02,4.03490,
"","Source: Calculated on the basis of the buying and selling rates of the following banks:  Since January 2004 The Hongkong and Shanghai Banking Corporation (HSBC Bank), Kuala Lumpur 1999 - December 2003 The Hongkong Bank Malaysia Berhad, Kuala Lumpur",
"",Comment on 2004-05: Exchange rate as of 1 June 2004.,
"",Comment on 2010-02: Exchange rate as of 1 March 2010.,
