"",BBK01.OEAH33P,BBK01.OEAH33P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:36,
2002-01,1.636,
2002-04,1.632,
2002-07,1.603,
2002-10,1.665,
2003-01,1.729,
2003-04,1.724,
2003-07,1.878,
2003-10,1.983,
2004-01,1.963,
2004-04,2.028,
2004-07,2.113,
2004-10,2.231,
2005-01,2.446,
2005-04,2.496,
2005-07,2.524,
2005-10,2.528,
2006-01,2.573,
2006-04,2.537,
2006-07,2.565,
2006-10,2.587,
2007-01,2.573,
2007-04,2.591,
2007-07,2.615,
2007-10,2.586,
2008-01,2.561,
2008-04,2.586,
2008-07,2.566,
2008-10,2.494,
2009-01,2.454,
2009-04,2.445,
2009-07,2.384,
2009-10,2.314,
2010-01,2.306,
2010-04,2.218,
2010-07,2.175,
2010-10,2.161,
2011-01,2.204,
2011-04,2.162,
2011-07,2.307,
2011-10,2.302,
2012-01,2.361,
2012-04,2.355,
2012-07,2.362,
2012-10,2.412,
2013-01,2.429,
2013-04,2.363,
2013-07,2.322,
2013-10,2.264,
2014-01,2.291,
2014-04,2.426,
2014-07,2.402,
