"",BBK01.OEXI08V,BBK01.OEXI08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:18,
2002-01,0.905,
2002-04,0.871,
2002-07,0.863,
2002-10,0.918,
2003-01,0.917,
2003-04,0.907,
2003-07,0.933,
2003-10,0.971,
2004-01,0.952,
2004-04,0.627,
2004-07,0.628,
2004-10,0.626,
2005-01,0.669,
2005-04,0.685,
2005-07,0.602,
2005-10,0.635,
2006-01,0.650,
2006-04,0.629,
2006-07,0.612,
2006-10,0.672,
2007-01,0.678,
2007-04,0.682,
2007-07,0.693,
2007-10,0.721,
2008-01,0.750,
2008-04,0.734,
2008-07,0.718,
2008-10,0.715,
2009-01,0.696,
2009-04,0.683,
2009-07,0.691,
2009-10,0.750,
2010-01,0.756,
2010-04,0.738,
2010-07,0.737,
2010-10,0.736,
2011-01,0.735,
2011-04,0.687,
2011-07,0.681,
2011-10,0.661,
2012-01,0.657,
2012-04,0.646,
2012-07,0.709,
2012-10,0.697,
2013-01,0.705,
2013-04,0.710,
2013-07,0.727,
2013-10,0.756,
2014-01,0.749,
2014-04,0.740,
2014-07,0.731,
