"",BBK01.OEHB14K,BBK01.OEHB14K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:41,
2002-01,0.841,
2002-04,0.871,
2002-07,0.843,
2002-10,0.820,
2003-01,0.841,
2003-04,0.848,
2003-07,0.827,
2003-10,0.771,
2004-01,0.766,
2004-04,0.651,
2004-07,0.599,
2004-10,0.521,
2005-01,0.608,
2005-04,0.593,
2005-07,0.578,
2005-10,0.599,
2006-01,0.622,
2006-04,0.633,
2006-07,0.610,
2006-10,0.672,
2007-01,0.614,
2007-04,0.607,
2007-07,0.838,
2007-10,0.545,
2008-01,0.548,
2008-04,0.541,
2008-07,0.523,
2008-10,0.570,
2009-01,0.561,
2009-04,0.551,
2009-07,0.552,
2009-10,0.608,
2010-01,0.629,
2010-04,0.659,
2010-07,0.655,
2010-10,0.663,
2011-01,0.655,
2011-04,0.741,
2011-07,0.664,
2011-10,0.645,
2012-01,0.633,
2012-04,0.637,
2012-07,0.648,
2012-10,0.637,
2013-01,0.651,
2013-04,0.639,
2013-07,0.496,
2013-10,0.469,
2014-01,0.482,
2014-04,0.555,
2014-07,0.517,
