"",BBK01.OEAH61T,BBK01.OEAH61T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:59,
2002-01,0.094,
2002-04,0.107,
2002-07,0.109,
2002-10,0.116,
2003-01,0.109,
2003-04,0.116,
2003-07,0.119,
2003-10,0.131,
2004-01,0.128,
2004-04,0.136,
2004-07,0.138,
2004-10,0.138,
2005-01,0.225,
2005-04,0.219,
2005-07,0.218,
2005-10,0.218,
2006-01,0.229,
2006-04,0.236,
2006-07,0.248,
2006-10,0.261,
2007-01,0.271,
2007-04,0.278,
2007-07,0.292,
2007-10,0.317,
2008-01,0.323,
2008-04,0.312,
2008-07,0.322,
2008-10,0.344,
2009-01,0.360,
2009-04,0.335,
2009-07,0.333,
2009-10,0.320,
2010-01,0.313,
2010-04,0.310,
2010-07,0.301,
2010-10,0.298,
2011-01,0.300,
2011-04,0.296,
2011-07,0.284,
2011-10,0.308,
2012-01,0.320,
2012-04,0.314,
2012-07,0.296,
2012-10,0.289,
2013-01,0.170,
2013-04,0.163,
2013-07,0.173,
2013-10,0.164,
2014-01,0.158,
2014-04,0.159,
2014-07,0.157,
