"",BBK01.OEXB12K,BBK01.OEXB12K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:31,
2002-01,2.295,
2002-04,2.275,
2002-07,2.334,
2002-10,2.431,
2003-01,2.428,
2003-04,2.482,
2003-07,2.624,
2003-10,2.612,
2004-01,2.818,
2004-04,2.790,
2004-07,2.901,
2004-10,0.644,
2005-01,0.611,
2005-04,0.637,
2005-07,0.662,
2005-10,0.770,
2006-01,0.837,
2006-04,0.893,
2006-07,0.913,
2006-10,0.888,
2007-01,0.961,
2007-04,0.972,
2007-07,0.948,
2007-10,0.961,
2008-01,0.931,
2008-04,1.120,
2008-07,1.150,
2008-10,1.247,
2009-01,1.247,
2009-04,1.425,
2009-07,1.552,
2009-10,1.611,
2010-01,1.657,
2010-04,1.746,
2010-07,1.659,
2010-10,1.754,
2011-01,1.730,
2011-04,1.788,
2011-07,1.809,
2011-10,1.866,
2012-01,1.834,
2012-04,1.864,
2012-07,1.891,
2012-10,2.108,
2013-01,2.189,
2013-04,2.234,
2013-07,2.274,
2013-10,2.327,
2014-01,2.254,
2014-04,2.305,
2014-07,2.579,
