"",BBFN1.M.DE.N.1.L.BE.S1P.F0.L.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.BE.S1P.F0.L.BN00.Z01.BGA.X001.D_FLAGS
"",Long-term liabilities of enterprises vis-à-vis non-residents arising from financial operations / Total / Belgium,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:09:28,
1982-09,0.281,
1982-10,0.270,
1982-11,0.277,
1982-12,0.254,
1983-01,0.250,
1983-02,0.269,
1983-03,0.283,
1983-04,0.315,
1983-05,0.320,
1983-06,0.333,
1983-07,0.298,
1983-08,0.271,
1983-09,0.246,
1983-10,0.279,
1983-11,0.280,
1983-12,0.290,
1984-01,0.289,
1984-02,0.299,
1984-03,0.299,
1984-04,0.284,
1984-05,0.274,
1984-06,0.273,
1984-07,0.272,
1984-08,0.263,
1984-09,0.257,
1984-10,0.266,
1984-11,0.241,
1984-12,0.227,
1985-01,0.240,
1985-02,0.243,
1985-03,0.270,
1985-04,0.275,
1985-05,0.273,
1985-06,0.274,
1985-07,0.272,
1985-08,0.267,
1985-09,0.268,
1985-10,0.264,
1985-11,0.263,
1985-12,0.254,
1986-01,0.269,
1986-02,0.270,
1986-03,0.277,
1986-04,0.534,
1986-05,0.326,
1986-06,0.326,
1986-07,0.370,
1986-08,0.375,
1986-09,0.371,
1986-10,0.389,
1986-11,0.416,
1986-12,0.414,
1987-01,0.416,
1987-02,0.416,
1987-03,0.425,
1987-04,0.437,
1987-05,0.437,
1987-06,0.459,
1987-07,0.541,
1987-08,0.542,
1987-09,0.542,
1987-10,0.541,
1987-11,0.540,
1987-12,0.549,
1988-01,0.547,
1988-02,0.546,
1988-03,0.543,
1988-04,0.552,
1988-05,0.571,
1988-06,0.600,
1988-07,0.607,
1988-08,0.608,
1988-09,0.632,
1988-10,0.637,
1988-11,0.631,
1988-12,0.811,
1989-01,0.797,
1989-02,0.795,
1989-03,0.809,
1989-04,0.813,
1989-05,0.822,
1989-06,0.791,
1989-07,0.789,
1989-08,0.794,
1989-09,0.836,
1989-10,0.832,
1989-11,0.828,
1989-12,0.891,
1990-01,0.704,
1990-02,0.687,
1990-03,0.686,
1990-04,0.693,
1990-05,0.690,
1990-06,0.739,
1990-07,0.748,
1990-08,0.741,
1990-09,0.745,
1990-10,0.767,
1990-11,0.785,
1990-12,0.805,
1991-01,0.793,
1991-02,0.809,
1991-03,0.833,
1991-04,0.886,
1991-05,0.881,
1991-06,0.899,
1991-07,1.005,
1991-08,1.011,
1991-09,1.029,
1991-10,1.070,
1991-11,1.104,
1991-12,1.286,
1992-01,1.348,
1992-02,1.342,
1992-03,1.530,
1992-04,1.535,
1992-05,1.505,
1992-06,1.524,
1992-07,1.522,
1992-08,1.526,
1992-09,1.568,
1992-10,1.574,
1992-11,1.542,
1992-12,1.553,
1993-01,1.526,
1993-02,1.730,
1993-03,1.740,
1993-04,1.738,
1993-05,1.790,
1993-06,1.833,
1993-07,1.743,
1993-08,1.722,
1993-09,1.663,
1993-10,1.691,
1993-11,1.624,
1993-12,1.595,
1994-01,1.608,
1994-02,1.608,
1994-03,1.608,
1994-04,1.678,
1994-05,1.677,
1994-06,1.700,
1994-07,1.931,
1994-08,2.051,
1994-09,2.049,
1994-10,2.033,
1994-11,1.995,
1994-12,1.936,
1995-01,1.803,
1995-02,1.808,
1995-03,1.781,
1995-04,1.794,
1995-05,1.801,
1995-06,1.724,
1995-07,1.756,
1995-08,1.759,
1995-09,1.813,
1995-10,1.894,
1995-11,1.856,
1995-12,1.857,
1996-01,1.948,
1996-02,1.703,
1996-03,1.695,
1996-04,1.722,
1996-05,1.725,
1996-06,1.559,
1996-07,1.650,
1996-08,1.634,
1996-09,1.789,
1996-10,1.740,
1996-11,1.700,
1996-12,1.332,
1997-01,1.367,
1997-02,1.942,
1997-03,2.000,
1997-04,1.903,
1997-05,1.958,
