"",BBFN1.M.DE.N.1.A.SA.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SA.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Saudi Arabia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:28:47,
1982-09,0.162,
1982-10,0.159,
1982-11,0.178,
1982-12,0.150,
1983-01,0.144,
1983-02,0.138,
1983-03,0.157,
1983-04,0.135,
1983-05,0.127,
1983-06,0.124,
1983-07,0.143,
1983-08,0.137,
1983-09,0.139,
1983-10,0.139,
1983-11,0.129,
1983-12,0.137,
1984-01,0.129,
1984-02,0.173,
1984-03,0.143,
1984-04,0.139,
1984-05,0.144,
1984-06,0.145,
1984-07,0.112,
1984-08,0.138,
1984-09,0.109,
1984-10,0.103,
1984-11,0.110,
1984-12,0.121,
1985-01,0.133,
1985-02,0.115,
1985-03,0.107,
1985-04,0.128,
1985-05,0.126,
1985-06,0.142,
1985-07,0.139,
1985-08,0.138,
1985-09,0.140,
1985-10,0.162,
1985-11,0.166,
1985-12,0.153,
1986-01,0.167,
1986-02,0.141,
1986-03,0.165,
1986-04,0.155,
1986-05,0.163,
1986-06,0.207,
1986-07,0.213,
1986-08,0.205,
1986-09,0.200,
1986-10,0.207,
1986-11,0.206,
1986-12,0.195,
1987-01,0.177,
1987-02,0.177,
1987-03,0.188,
1987-04,0.163,
1987-05,0.172,
1987-06,0.151,
1987-07,0.157,
1987-08,0.154,
1987-09,0.148,
1987-10,0.151,
1987-11,0.150,
1987-12,0.153,
1988-01,0.154,
1988-02,0.126,
1988-03,0.121,
1988-04,0.123,
1988-05,0.120,
1988-06,0.129,
1988-07,0.124,
1988-08,0.123,
1988-09,0.123,
1988-10,0.123,
1988-11,0.123,
1988-12,0.117,
1989-01,0.118,
1989-02,0.119,
1989-03,0.119,
1989-04,0.119,
1989-05,0.119,
1989-06,0.123,
1989-07,0.123,
1989-08,0.121,
1989-09,0.120,
1989-10,0.123,
1989-11,0.125,
1989-12,0.117,
1990-01,0.115,
1990-02,0.112,
1990-03,0.108,
1990-04,0.115,
1990-05,0.115,
1990-06,0.101,
1990-07,0.100,
1990-08,0.096,
1990-09,0.090,
1990-10,0.097,
1990-11,0.096,
1990-12,0.087,
1991-01,0.086,
1991-02,0.086,
1991-03,0.086,
1991-04,0.086,
1991-05,0.089,
1991-06,0.088,
1991-07,0.085,
1991-08,0.086,
1991-09,0.087,
1991-10,0.089,
1991-11,0.086,
1991-12,0.091,
1992-01,0.093,
1992-02,0.090,
1992-03,0.092,
1992-04,0.091,
1992-05,0.090,
1992-06,0.094,
1992-07,0.094,
1992-08,0.093,
1992-09,0.088,
1992-10,0.095,
1992-11,0.100,
1992-12,0.094,
1993-01,0.098,
1993-02,0.092,
1993-03,0.095,
1993-04,0.094,
1993-05,0.095,
1993-06,0.094,
1993-07,0.097,
1993-08,0.091,
1993-09,0.085,
1993-10,0.086,
1993-11,0.094,
1993-12,0.087,
1994-01,0.085,
1994-02,0.088,
1994-03,0.084,
1994-04,0.085,
1994-05,0.086,
1994-06,0.087,
1994-07,0.081,
1994-08,0.084,
1994-09,0.083,
1994-10,0.087,
1994-11,0.092,
1994-12,0.086,
1995-01,0.089,
1995-02,0.086,
1995-03,0.089,
1995-04,0.089,
1995-05,0.090,
1995-06,0.093,
1995-07,0.090,
1995-08,0.103,
1995-09,0.103,
1995-10,0.095,
1995-11,0.093,
1995-12,0.089,
1996-01,0.089,
1996-02,0.096,
1996-03,0.034,
1996-04,0.027,
1996-05,0.028,
1996-06,0.028,
1996-07,0.029,
1996-08,0.030,
1996-09,0.026,
1996-10,0.026,
1996-11,0.026,
1996-12,0.023,
1997-01,0.018,
1997-02,0.023,
1997-03,0.024,
1997-04,0.027,
1997-05,0.025,
1997-06,0.027,
1997-07,0.029,
1997-08,0.028,
1997-09,0.022,
1997-10,0.019,
1997-11,0.020,
1997-12,0.021,
1998-01,0.020,
1998-02,0.047,
1998-03,0.024,
1998-04,0.025,
1998-05,0.024,
1998-06,0.024,
1998-07,0.022,
1998-08,0.019,
1998-09,0.021,
1998-10,0.019,
1998-11,0.020,
1998-12,0.021,
1999-01,0.025,
1999-02,0.026,
1999-03,0.021,
1999-04,0.025,
1999-05,0.032,
1999-06,0.031,
1999-07,0.031,
1999-08,0.029,
1999-09,0.029,
1999-10,0.028,
1999-11,0.036,
1999-12,0.036,
2000-01,0.038,
2000-02,0.047,
2000-03,0.047,
2000-04,0.047,
2000-05,0.048,
2000-06,0.050,
2000-07,0.052,
2000-08,0.047,
2000-09,0.045,
2000-10,0.051,
2000-11,0.051,
2000-12,0.078,
2001-01,0.085,
2001-02,0.094,
2001-03,0.110,
2001-04,0.112,
2001-05,0.098,
2001-06,0.104,
2001-07,0.093,
2001-08,0.090,
2001-09,0.087,
2001-10,0.086,
2001-11,0.088,
2001-12,0.116,
2002-01,0.105,
2002-02,0.104,
2002-03,0.103,
2002-04,0.097,
2002-05,0.107,
2002-06,0.112,
2002-07,0.110,
2002-08,0.119,
2002-09,0.112,
2002-10,0.093,
2002-11,0.098,
2002-12,0.098,
2003-01,0.106,
2003-02,0.093,
2003-03,0.124,
2003-04,0.117,
2003-05,0.111,
2003-06,0.112,
2003-07,0.115,
2003-08,0.112,
2003-09,0.090,
2003-10,0.066,
2003-11,0.072,
2003-12,0.075,
2004-01,0.071,
2004-02,0.096,
2004-03,0.095,
2004-04,0.095,
2004-05,0.098,
2004-06,0.097,
2004-07,0.098,
2004-08,0.097,
2004-09,0.100,
2004-10,0.102,
2004-11,0.103,
2004-12,0.088,
2005-01,0.100,
2005-02,0.100,
2005-03,0.111,
2005-04,0.106,
2005-05,0.113,
2005-06,0.125,
2005-07,0.124,
2005-08,0.122,
2005-09,0.104,
2005-10,0.103,
2005-11,0.105,
2005-12,0.097,
2006-01,0.100,
2006-02,0.108,
2006-03,0.114,
2006-04,0.113,
2006-05,0.098,
2006-06,0.109,
2006-07,0.127,
2006-08,0.123,
2006-09,0.125,
2006-10,0.124,
2006-11,0.125,
2006-12,0.165,
2007-01,0.170,
2007-02,0.168,
2007-03,0.169,
2007-04,0.166,
2007-05,0.168,
2007-06,0.166,
2007-07,0.166,
2007-08,0.180,
2007-09,0.179,
2007-10,0.121,
2007-11,0.129,
2007-12,0.125,
2008-01,0.098,
2008-02,0.108,
2008-03,0.129,
2008-04,0.117,
2008-05,0.116,
2008-06,0.157,
2008-07,0.158,
2008-08,0.174,
2008-09,0.186,
2008-10,0.139,
2008-11,0.152,
2008-12,0.149,
2009-01,0.134,
2009-02,0.153,
2009-03,0.150,
2009-04,0.155,
2009-05,0.160,
2009-06,0.179,
2009-07,0.196,
2009-08,0.215,
2009-09,0.225,
2009-10,0.261,
2009-11,0.257,
2009-12,0.277,
2010-01,0.310,
2010-02,0.291,
2010-03,0.275,
2010-04,0.260,
2010-05,0.283,
2010-06,0.268,
2010-07,0.243,
2010-08,0.258,
2010-09,0.204,
2010-10,0.215,
2010-11,0.228,
2010-12,0.186,
2011-01,0.191,
2011-02,0.200,
2011-03,0.187,
2011-04,0.174,
2011-05,0.208,
2011-06,0.231,
2011-07,0.238,
2011-08,0.248,
2011-09,0.160,
2011-10,0.168,
2011-11,0.177,
2011-12,0.186,
2012-01,0.275,
2012-02,0.301,
2012-03,0.300,
2012-04,0.217,
2012-05,0.254,
2012-06,0.257,
2012-07,0.248,
2012-08,0.261,
2012-09,0.226,
2012-10,0.207,
2012-11,0.245,
2012-12,0.236,
2013-01,0.230,
2013-02,0.246,
2013-03,0.266,
2013-04,0.384,
2013-05,0.397,
2013-06,0.383,
2013-07,0.175,
2013-08,0.402,
2013-09,0.367,
2013-10,0.386,
2013-11,0.425,
2013-12,0.452,
2014-01,0.430,
2014-02,0.453,
2014-03,0.443,
2014-04,0.427,
2014-05,0.524,
2014-06,0.526,
2014-07,0.572,
2014-08,0.578,
2014-09,0.565,
2014-10,0.570,
2014-11,0.612,
2014-12,0.593,
