"",BBSF2.M.1.P.00000.AKT01.I.F.ERT.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.AKT01.I.F.ERT.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Equity funds / Distribution of earnings,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:37:51,
1993-04,-,Nothing exists
1993-05,5,
1993-06,2,
1993-07,0,
1993-08,45,
1993-09,0,
1993-10,35,
1993-11,122,
1993-12,12,
1994-01,2,
1994-02,123,
1994-03,8,
1994-04,0,
1994-05,6,
1994-06,1,
1994-07,0,
1994-08,53,
1994-09,1,
1994-10,0,
1994-11,214,
1994-12,3,
1995-01,14,
1995-02,138,
1995-03,7,
1995-04,1,
1995-05,8,
1995-06,3,
1995-07,56,
1995-08,57,
1995-09,0,
1995-10,0,
1995-11,228,
1995-12,1,
1996-01,12,
1996-02,152,
1996-03,6,
1996-04,0,
1996-05,8,
1996-06,3,
1996-07,0,
1996-08,45,
1996-09,0,
1996-10,0,
1996-11,221,
1996-12,0,
1997-01,13,
1997-02,174,
1997-03,9,
1997-04,-,Nothing exists
1997-05,5,
1997-06,5,
1997-07,0,
1997-08,47,
1997-09,0,
1997-10,2,
1997-11,252,
1997-12,1,
1998-01,18,
1998-02,177,
1998-03,24,
1998-04,-,Nothing exists
1998-05,8,
1998-06,3,
1998-07,0,
1998-08,63,
1998-09,0,
1998-10,1,
1998-11,387,
1998-12,17,
1999-01,52,
1999-02,297,
1999-03,48,
1999-04,0,
1999-05,18,
1999-06,12,
1999-07,0,
1999-08,106,
1999-09,0,
1999-10,1,
1999-11,361,
1999-12,13,
2000-01,70,
2000-02,172,
2000-03,191,
2000-04,0,
2000-05,28,
2000-06,1,
2000-07,0,
2000-08,124,
2000-09,0,
2000-10,1,
2000-11,422,
2000-12,4,
2001-01,81,
2001-02,163,
2001-03,183,
2001-04,0,
2001-05,27,
2001-06,16,
2001-07,1,
2001-08,120,
2001-09,2,
2001-10,2,
2001-11,485,
2001-12,3,
2002-01,81,
2002-02,178,
2002-03,203,
2002-04,0,
2002-05,27,
2002-06,25,
2002-07,2,
2002-08,25,
2002-09,1,
2002-10,5,
2002-11,365,
2002-12,2,
2003-01,31,
2003-02,130,
2003-03,104,
2003-04,1,
2003-05,28,
2003-06,41,
2003-07,4,
2003-08,35,
2003-09,0,
2003-10,1,
2003-11,377,
2003-12,3,
2004-01,41,
2004-02,197,
2004-03,116,
2004-04,0,
2004-05,29,
2004-06,48,
2004-07,11,
2004-08,29,
2004-09,0,
2004-10,1,
2004-11,320,
2004-12,5,
2005-01,22,
2005-02,110,
2005-03,91,
2005-04,15,
2005-05,33,
2005-06,61,
2005-07,29,
2005-08,36,
2005-09,0,
2005-10,20,
2005-11,216,
2005-12,9,
2006-01,64,
2006-02,63,
2006-03,106,
2006-04,2,
2006-05,41,
2006-06,80,
2006-07,43,
2006-08,63,
2006-09,14,
2006-10,6,
2006-11,445,
2006-12,70,
2007-01,70,
2007-02,134,
2007-03,142,
2007-04,10,
2007-05,57,
2007-06,101,
2007-07,105,
2007-08,56,
2007-09,71,
2007-10,22,
2007-11,493,
2007-12,7,
2008-01,96,
2008-02,135,
2008-03,173,
2008-04,80,
2008-05,41,
2008-06,94,
2008-07,108,
2008-08,59,
2008-09,86,
2008-10,7,
2008-11,504,
2008-12,44,
2009-01,55,
2009-02,176,
2009-03,236,
2009-04,12,
2009-05,44,
2009-06,118,
2009-07,65,
2009-08,57,
2009-09,5,
2009-10,20,
2009-11,507,
2009-12,26,
2010-01,31,
2010-02,72,
2010-03,89,
2010-04,7,
2010-05,21,
2010-06,52,
2010-07,5,
2010-08,34,
2010-09,22,
2010-10,21,
2010-11,453,
2010-12,49,
2011-01,30,
2011-02,46,
2011-03,111,
2011-04,7,
2011-05,77,
2011-06,125,
2011-07,54,
2011-08,42,
2011-09,91,
2011-10,35,
2011-11,532,
2011-12,28,
2012-01,41,
2012-02,113,
2012-03,176,
2012-04,26,
2012-05,130,
2012-06,119,
2012-07,92,
2012-08,45,
2012-09,80,
2012-10,50,
2012-11,619,
2012-12,32,
2013-01,30,
2013-02,94,
2013-03,139,
2013-04,29,
2013-05,160,
2013-06,160,
2013-07,83,
2013-08,27,
2013-09,145,
2013-10,58,
2013-11,616,
2013-12,55,
2014-01,46,
2014-02,91,
2014-03,141,
2014-04,27,
2014-05,142,
2014-06,156,
2014-07,92,
2014-08,41,
2014-09,208,
2014-10,90,
2014-11,202,
