"",BBSF2.M.1.S.I0015.REN01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0015.REN01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Bonds funds / Net asset value / Private non-profit institutions / Distribution and cumulative funds,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:49:54,
1993-01,.,No value available
1993-02,.,No value available
1993-03,.,No value available
1993-04,930,
1993-05,946,
1993-06,957,
1993-07,1045,
1993-08,1062,
1993-09,1093,
1993-10,1117,
1993-11,1128,
1993-12,1158,
1994-01,1183,
1994-02,1176,
1994-03,1167,
1994-04,1216,
1994-05,1234,
1994-06,1230,
1994-07,1257,
1994-08,1264,
1994-09,1333,
1994-10,1337,
1994-11,1356,
1994-12,1347,
1995-01,1360,
1995-02,1395,
1995-03,1431,
1995-04,1460,
1995-05,1498,
1995-06,1498,
1995-07,1643,
1995-08,1667,
1995-09,1700,
1995-10,1718,
1995-11,1746,
1995-12,2023,
1996-01,2069,
1996-02,2058,
1996-03,2072,
1996-04,2116,
1996-05,2120,
1996-06,2111,
1996-07,2093,
1996-08,2122,
1996-09,2213,
1996-10,2271,
1996-11,2299,
1996-12,2319,
1997-01,2367,
1997-02,2408,
1997-03,2385,
1997-04,2411,
1997-05,2418,
1997-06,2495,
1997-07,2570,
1997-08,2561,
1997-09,2602,
1997-10,2589,
1997-11,2536,
1997-12,2580,
1998-01,2648,
1998-02,2777,
1998-03,2806,
1998-04,2803,
1998-05,2907,
1998-06,2936,
1998-07,3068,
1998-08,3085,
1998-09,3092,
1998-10,3127,
1998-11,3187,
1998-12,3140,
1999-01,3194,
1999-02,3447,
1999-03,3488,
1999-04,3604,
1999-05,3610,
1999-06,3568,
1999-07,3561,
1999-08,3212,
1999-09,3270,
1999-10,3266,
1999-11,3302,
1999-12,3321,
2000-01,3600,
2000-02,3618,
2000-03,3827,
2000-04,3836,
2000-05,3828,
2000-06,3901,
2000-07,3791,
2000-08,3799,
2000-09,3781,
2000-10,3804,
2000-11,3841,
2000-12,3896,
2001-01,3944,
2001-02,3922,
2001-03,3807,
2001-04,3803,
2001-05,3792,
2001-06,3797,
2001-07,3748,
2001-08,3748,
2001-09,3728,
2001-10,3812,
2001-11,3831,
2001-12,3801,
2002-01,3864,
2002-02,3876,
2002-03,3860,
2002-04,3834,
2002-05,3854,
2002-06,3773,
2002-07,3691,
2002-08,3733,
2002-09,3711,
2002-10,3730,
2002-11,3756,
2002-12,3786,
2003-01,3827,
2003-02,3899,
2003-03,3849,
2003-04,3941,
2003-05,4023,
2003-06,4057,
2003-07,4014,
2003-08,4006,
2003-09,4029,
2003-10,4115,
2003-11,4150,
2003-12,3935,
2004-01,3888,
2004-02,3927,
2004-03,4015,
2004-04,3930,
2004-05,4007,
2004-06,3427,
2004-07,3458,
2004-08,3494,
2004-09,3519,
2004-10,3643,
2004-11,3612,
2004-12,5558,
2005-01,5571,
2005-02,5591,
2005-03,5556,
2005-04,5365,
2005-05,5495,
2005-06,5579,
2005-07,5562,
2005-08,5573,
2005-09,5692,
2005-10,5598,
2005-11,5631,
2005-12,5731,
2006-01,5737,
2006-02,5742,
2006-03,5776,
2006-04,5762,
2006-05,5700,
2006-06,5658,
2006-07,5565,
2006-08,5604,
2006-09,5599,
2006-10,5615,
2006-11,5640,
2006-12,5649,
2007-01,5598,
2007-02,5596,
2007-03,5483,
2007-04,5558,
2007-05,5500,
2007-06,5268,
2007-07,5227,
2007-08,5226,
2007-09,5256,
2007-10,5305,
2007-11,5230,
2007-12,5160,
2008-01,5033,
2008-02,5018,
2008-03,4917,
2008-04,4971,
2008-05,5182,
2008-06,5086,
2008-07,5079,
2008-08,5111,
2008-09,4998,
2008-10,4810,
2008-11,4944,
2008-12,4897,
2009-01,4856,
2009-02,5052,
2009-03,5528,
2009-04,5727,
2009-05,5547,
2009-06,5506,
2009-07,6437,
2009-08,6373,
2009-09,7621,
2009-10,7608,
2009-11,7470,
2009-12,7192,
2010-01,6225,
2010-02,6089,
2010-03,6093,
2010-04,6213,
2010-05,6192,
2010-06,6205,
2010-07,6218,
2010-08,6326,
2010-09,6339,
2010-10,6329,
2010-11,6280,
2010-12,6283,
2011-01,6197,
2011-02,6064,
2011-03,6060,
2011-04,6092,
2011-05,6139,
2011-06,5966,
2011-07,5967,
2011-08,5700,
2011-09,5709,
2011-10,5749,
2011-11,5650,
2011-12,5642,
2012-01,5818,
2012-02,5943,
2012-03,5970,
2012-04,5904,
2012-05,5922,
2012-06,5992,
2012-07,6064,
2012-08,6070,
2012-09,6091,
2012-10,6441,
2012-11,7217,
2012-12,7018,
2013-01,7008,
2013-02,7083,
2013-03,7174,
2013-04,7259,
2013-05,7638,
2013-06,7781,
2013-07,7813,
2013-08,7711,
2013-09,7970,
2013-10,8005,
2013-11,8051,
2013-12,8337,
2014-01,8526,
2014-02,8729,
2014-03,8727,
2014-04,8768,
2014-05,8919,
2014-06,8945,
2014-07,8995,
2014-08,9152,
2014-09,9107,
2014-10,9065,
2014-11,9049,
