"",BBK01.OEBB09L,BBK01.OEBB09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:18,
2002-01,49.283,
2002-04,44.143,
2002-07,45.302,
2002-10,42.251,
2003-01,50.163,
2003-04,46.348,
2003-07,49.349,
2003-10,46.080,
2004-01,45.962,
2004-04,41.058,
2004-07,43.781,
2004-10,44.818,
2005-01,51.024,
2005-04,53.445,
2005-07,66.253,
2005-10,62.825,
2006-01,71.532,
2006-04,77.602,
2006-07,79.084,
2006-10,57.037,
2007-01,76.863,
2007-04,80.569,
2007-07,78.177,
2007-10,77.229,
2008-01,90.963,
2008-04,83.658,
2008-07,84.879,
2008-10,91.980,
2009-01,102.567,
2009-04,95.435,
2009-07,87.910,
2009-10,80.713,
2010-01,67.655,
2010-04,73.980,
2010-07,64.710,
2010-10,66.954,
2011-01,72.318,
2011-04,74.112,
2011-07,71.572,
2011-10,71.964,
2012-01,70.955,
2012-04,67.923,
2012-07,66.344,
2012-10,62.376,
2013-01,68.590,
2013-04,76.577,
2013-07,41.227,
2013-10,39.915,
2014-01,39.912,
2014-04,40.265,
2014-07,42.379,
