"",BBK01.OEYM05S,BBK01.OEYM05S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:45:00,
2002-01,1.332,
2002-04,1.319,
2002-07,1.303,
2002-10,1.405,
2003-01,1.383,
2003-04,1.364,
2003-07,1.351,
2003-10,1.445,
2004-01,1.425,
2004-04,1.400,
2004-07,1.388,
2004-10,0.007,
2005-01,0.007,
2005-04,0.007,
2005-07,0.006,
2005-10,0.019,
2006-01,0.019,
2006-04,0.019,
2006-07,0.018,
2006-10,0.037,
2007-01,0.035,
2007-04,0.036,
2007-07,0.036,
2007-10,0.036,
2008-01,0.025,
2008-04,0.024,
2008-07,0.024,
2008-10,0.024,
2009-01,0.020,
2009-04,0.045,
2009-07,0.045,
2009-10,0.055,
2010-01,0.057,
2010-04,0.063,
2010-07,0.063,
2010-10,0.073,
2011-01,0.078,
2011-04,0.078,
2011-07,0.077,
2011-10,0.072,
2012-01,0.059,
2012-04,0.074,
2012-07,0.074,
2012-10,0.074,
2013-01,0.061,
2013-04,0.063,
2013-07,0.064,
2013-10,0.064,
2014-01,0.063,
2014-04,0.063,
2014-07,0.067,
