"",BBFB1.Q.N.DE.U3.S1.S1.T.L.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.L.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Equity / Reinvested earnings / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:07,
1991-01,80.717,
1991-04,83.175,
1991-07,73.313,
1991-10,57.717,
1992-01,9.323,
1992-04,1.304,
1992-07,4.492,
1992-10,-41.678,
1993-01,51.721,
1993-04,80.033,
1993-07,32.259,
1993-10,80.336,
1994-01,-214.703,
1994-04,-227.651,
1994-07,-195.424,
1994-10,-211.258,
1995-01,-229.557,
1995-04,-236.658,
1995-07,-215.499,
1995-10,-325.554,
1996-01,-123.932,
1996-04,-146.859,
1996-07,-118.734,
1996-10,-135.181,
1997-01,-194.749,
1997-04,-186.299,
1997-07,-194.539,
1997-10,-218.333,
1998-01,-39.464,
1998-04,-58.681,
1998-07,-38.160,
1998-10,-40.319,
1999-01,42.450,
1999-04,69.889,
1999-07,59.067,
1999-10,47.044,
2000-01,-166.225,
2000-04,-161.487,
2000-07,-172.322,
2000-10,-180.730,
2001-01,-2161.490,
2001-04,-2785.685,
2001-07,-2753.633,
2001-10,-2776.996,
2002-01,-138.270,
2002-04,-614.330,
2002-07,5.086,
2002-10,-151.699,
2003-01,-384.358,
2003-04,-438.757,
2003-07,-1175.914,
2003-10,-604.091,
2004-01,608.503,
2004-04,480.210,
2004-07,500.049,
2004-10,646.328,
2005-01,300.625,
2005-04,-855.855,
2005-07,299.021,
2005-10,-229.228,
2006-01,410.245,
2006-04,-940.636,
2006-07,423.129,
2006-10,427.244,
2007-01,930.753,
2007-04,-261.638,
2007-07,219.557,
2007-10,278.172,
2008-01,-1924.620,
2008-04,-124.774,
2008-07,938.891,
2008-10,-544.271,
2009-01,-821.800,
2009-04,-392.901,
2009-07,-328.902,
2009-10,-895.670,
2010-01,657.784,
2010-04,210.644,
2010-07,768.227,
2010-10,669.554,
2011-01,288.759,
2011-04,-308.271,
2011-07,79.620,
2011-10,-512.317,
2012-01,309.587,
2012-04,-302.145,
2012-07,321.476,
2012-10,178.144,
2013-01,166.463,
2013-04,-432.982,
2013-07,63.113,
2013-10,-77.011,
2014-01,138.548,Provisional value
2014-04,-422.459,Provisional value
2014-07,135.883,Provisional value
2014-10,-16.794,Provisional value
