"",BBK01.OECK01R,BBK01.OECK01R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:40,
2002-01,0.110,
2002-04,0.112,
2002-07,0.114,
2002-10,0.114,
2003-01,0.103,
2003-04,0.106,
2003-07,0.108,
2003-10,0.112,
2004-01,0.100,
2004-04,0.100,
2004-07,0.101,
2004-10,0.201,
2005-01,0.202,
2005-04,0.204,
2005-07,0.217,
2005-10,0.215,
2006-01,0.208,
2006-04,0.206,
2006-07,0.219,
2006-10,0.227,
2007-01,0.225,
2007-04,0.213,
2007-07,0.211,
2007-10,0.238,
2008-01,0.222,
2008-04,0.226,
2008-07,0.238,
2008-10,0.245,
2009-01,0.230,
2009-04,0.263,
2009-07,0.366,
2009-10,0.286,
2010-01,0.281,
2010-04,0.283,
2010-07,0.304,
2010-10,0.290,
2011-01,0.279,
2011-04,0.282,
2011-07,0.295,
2011-10,0.296,
2012-01,0.299,
2012-04,0.296,
2012-07,0.313,
2012-10,0.314,
2013-01,0.284,
2013-04,0.291,
2013-07,0.304,
2013-10,0.311,
2014-01,0.305,
2014-04,0.301,
2014-07,0.319,
