"",BBK01.OEAM04G,BBK01.OEAM04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:38:28,
2002-01,4.125,
2002-04,5.508,
2002-07,5.164,
2002-10,4.990,
2003-01,4.365,
2003-04,4.467,
2003-07,3.801,
2003-10,4.188,
2004-01,3.327,
2004-04,3.972,
2004-07,4.195,
2004-10,3.620,
2005-01,3.432,
2005-04,3.412,
2005-07,3.143,
2005-10,3.229,
2006-01,3.890,
2006-04,4.168,
2006-07,4.500,
2006-10,5.422,
2007-01,5.289,
2007-04,7.634,
2007-07,9.219,
2007-10,9.097,
2008-01,9.238,
2008-04,12.759,
2008-07,12.152,
2008-10,12.147,
2009-01,9.998,
2009-04,5.890,
2009-07,5.207,
2009-10,5.518,
2010-01,3.867,
2010-04,5.228,
2010-07,7.298,
2010-10,4.453,
2011-01,4.966,
2011-04,7.434,
2011-07,5.870,
2011-10,5.772,
2012-01,6.386,
2012-04,6.878,
2012-07,8.393,
2012-10,9.582,
2013-01,7.136,
2013-04,5.239,
2013-07,7.528,
2013-10,10.624,
2014-01,9.371,
2014-04,11.208,
2014-07,13.225,
