"",BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.P.F51._Z._T.M.N,BBFI1.Q.N.DE.W1.S1.S1.LE.A.FA.P.F51._Z._T.M.N_FLAGS
"",IIP - Portfolio investment - Equity - Assets - Positions - all sectors - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:01:33,
1999-10,406288,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,484339,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,420623,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,289583,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,310847,
2004-01,323727,
2004-04,330808,
2004-07,316414,
2004-10,326208,
2005-01,342218,
2005-04,364658,
2005-07,399231,
2005-10,432031,
2006-01,440720,
2006-04,386031,
2006-07,392918,
2006-10,383731,
2007-01,369080,
2007-04,374920,
2007-07,354262,
2007-10,315592,
2008-01,249590,
2008-04,233279,
2008-07,205866,
2008-10,148183,
2009-01,131404,
2009-04,152930,
2009-07,177989,
2009-10,190895,
2010-01,197827,
2010-04,191446,
2010-07,196981,
2010-10,217045,
2011-01,212395,
2011-04,213627,
2011-07,172995,
2011-10,191682,
2012-01,199405,
2012-04,192508,
2012-07,208044,
2012-10,222954,
2013-01,248349,
2013-04,248247,
2013-07,271644,
2013-10,285329,
2014-01,293304,
2014-04,312815,
2014-07,324258,
