"",BBFB1.Q.N.DE.S19800.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.S19800.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Emerging markets in South-East-Asia (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:47:47,
1991-01,-416.247,
1991-04,-430.121,
1991-07,805.491,
1991-10,657.830,
1992-01,1201.036,
1992-04,54.439,
1992-07,1576.336,
1992-10,741.645,
1993-01,1341.046,
1993-04,0.351,
1993-07,888.050,
1993-10,1741.987,
1994-01,939.708,
1994-04,-820.986,
1994-07,1332.664,
1994-10,69.621,
1995-01,620.733,
1995-04,2855.120,
1995-07,-159.760,
1995-10,292.696,
1996-01,-1416.880,
1996-04,240.488,
1996-07,186.201,
1996-10,298.523,
1997-01,692.875,
1997-04,277.945,
1997-07,919.761,
1997-10,-1454.831,
1998-01,573.911,
1998-04,1623.845,
1998-07,2754.538,
1998-10,2336.966,
1999-01,1889.097,
1999-04,1498.220,
1999-07,2524.259,
1999-10,1346.201,
2000-01,581.265,
2000-04,1617.371,
2000-07,998.260,
2000-10,-11.365,
2001-01,1111.032,
2001-04,1154.287,
2001-07,1064.272,
2001-10,2451.599,
2002-01,2050.844,
2002-04,766.859,
2002-07,1639.476,
2002-10,700.425,
2003-01,920.980,
2003-04,487.425,
2003-07,1672.459,
2003-10,610.374,
2004-01,1997.360,
2004-04,439.110,
2004-07,2213.451,
2004-10,1905.812,
2005-01,1449.752,
2005-04,-142.783,
2005-07,1171.593,
2005-10,589.238,
2006-01,318.354,
2006-04,958.250,
2006-07,1181.779,
2006-10,1616.556,
2007-01,924.867,
2007-04,2796.338,
2007-07,-232.069,
2007-10,2475.102,
2008-01,1086.706,
2008-04,421.342,
2008-07,1320.987,
2008-10,1549.833,
2009-01,2047.199,
2009-04,3220.679,
2009-07,1508.685,
2009-10,2082.935,
2010-01,3793.598,
2010-04,1243.810,
2010-07,1743.112,
2010-10,3084.447,
2011-01,2979.681,
2011-04,2905.443,
2011-07,-83.312,
2011-10,1833.314,
2012-01,909.208,
2012-04,-1699.610,
2012-07,1121.882,
2012-10,2991.386,
2013-01,2208.346,
2013-04,1910.866,
2013-07,2668.654,
2013-10,791.559,
2014-01,560.186,Provisional value
2014-04,693.548,Provisional value
2014-07,-667.734,Provisional value
2014-10,-632.846,Provisional value
