"",BBK01.CEHE1Q,BBK01.CEHE1Q_FLAGS
"",short-term loans  (consolidated)  debtor: Non-financial corporations                    creditor: All sectors,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:30,
1991-01,11.1,
1991-04,12.3,
1991-07,3.4,
1991-10,9.4,
1992-01,-5.8,
1992-04,8.7,
1992-07,-3.7,
1992-10,2.2,
1993-01,-2.3,
1993-04,-0.6,
1993-07,-1.3,
1993-10,-2.9,
1994-01,-3.5,
1994-04,-0.7,
1994-07,0.2,
1994-10,5.1,
1995-01,6.2,
1995-04,5.3,
1995-07,6.1,
1995-10,-2.8,
1996-01,4.3,
1996-04,7.5,
1996-07,1.8,
1996-10,0.9,
1997-01,1.1,
1997-04,6.4,
1997-07,-4.2,
1997-10,2.1,
1998-01,4.2,
1998-04,3.6,
1998-07,2.6,
1998-10,6.7,
1999-01,-9.2,
1999-04,6.1,
1999-07,-7.1,
1999-10,23.2,
2000-01,-5.2,
2000-04,14.5,
2000-07,12.0,
2000-10,21.8,
2001-01,0.9,
2001-04,11.9,
2001-07,-9.1,
2001-10,8.6,
2002-01,-16.7,
2002-04,1.6,
2002-07,0.6,
2002-10,-14.1,
2003-01,-7.6,
2003-04,2.6,
2003-07,-8.6,
2003-10,-1.9,
2004-01,-14.1,
2004-04,-5.8,
2004-07,-8.8,
2004-10,2.7,
2005-01,-5.0,
2005-04,-2.5,
2005-07,-5.3,
2005-10,0.6,
2006-01,-1.4,
2006-04,12.3,
2006-07,8.3,
2006-10,-4.3,
2007-01,21.3,
2007-04,8.2,
2007-07,5.7,
2007-10,-9.0,
2008-01,3.3,
2008-04,13.8,
2008-07,-4.2,
2008-10,-1.3,
2009-01,1.2,
2009-04,-13.8,
2009-07,-15.1,
2009-10,-15.2,
2010-01,16.0,
2010-04,-3.4,
2010-07,-3.5,
2010-10,-21.2,
2011-01,-14.1,
2011-04,7.9,
2011-07,12.0,
2011-10,7.8,
2012-01,-2.3,
2012-04,0.2,
2012-07,-0.5,
2012-10,-9.8,
2013-01,7.5,
2013-04,11.0,
2013-07,-19.6,
2013-10,-11.7,
2014-01,7.5,
