"",BBK01.OEYB10K,BBK01.OEYB10K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:59,
2002-01,4.981,
2002-04,4.724,
2002-07,4.906,
2002-10,5.717,
2003-01,4.935,
2003-04,5.437,
2003-07,4.780,
2003-10,6.296,
2004-01,6.328,
2004-04,5.288,
2004-07,3.617,
2004-10,3.028,
2005-01,2.773,
2005-04,2.846,
2005-07,3.055,
2005-10,2.729,
2006-01,2.714,
2006-04,3.009,
2006-07,2.939,
2006-10,3.349,
2007-01,2.869,
2007-04,2.527,
2007-07,2.985,
2007-10,3.187,
2008-01,3.824,
2008-04,4.082,
2008-07,4.090,
2008-10,4.749,
2009-01,4.564,
2009-04,4.473,
2009-07,4.243,
2009-10,3.911,
2010-01,3.894,
2010-04,3.933,
2010-07,4.413,
2010-10,3.962,
2011-01,3.806,
2011-04,3.688,
2011-07,4.554,
2011-10,4.753,
2012-01,4.878,
2012-04,4.533,
2012-07,4.389,
2012-10,3.613,
2013-01,3.574,
2013-04,3.654,
2013-07,4.083,
2013-10,3.698,
2014-01,3.558,
2014-04,3.678,
2014-07,3.512,
