"",BBK01.OEBL09M,BBK01.OEBL09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:06,
2002-01,1.308,
2002-04,1.236,
2002-07,1.248,
2002-10,1.196,
2003-01,1.061,
2003-04,0.953,
2003-07,0.886,
2003-10,0.867,
2004-01,0.840,
2004-04,0.802,
2004-07,0.793,
2004-10,0.852,
2005-01,0.946,
2005-04,0.945,
2005-07,0.892,
2005-10,0.908,
2006-01,0.941,
2006-04,0.990,
2006-07,1.048,
2006-10,1.132,
2007-01,1.402,
2007-04,1.486,
2007-07,1.575,
2007-10,1.728,
2008-01,1.748,
2008-04,1.745,
2008-07,1.643,
2008-10,2.170,
2009-01,2.077,
2009-04,2.025,
2009-07,2.031,
2009-10,1.684,
2010-01,1.566,
2010-04,1.744,
2010-07,1.718,
2010-10,2.010,
2011-01,2.337,
2011-04,2.192,
2011-07,2.218,
2011-10,2.228,
2012-01,1.881,
2012-04,1.827,
2012-07,1.675,
2012-10,1.335,
2013-01,1.079,
2013-04,0.924,
2013-07,0.870,
2013-10,0.826,
2014-01,0.794,
2014-04,0.770,
2014-07,0.988,
