"",BBK01.OELK03M,BBK01.OELK03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:10:25,
2002-01,0.894,
2002-04,0.862,
2002-07,0.853,
2002-10,0.859,
2003-01,0.839,
2003-04,0.774,
2003-07,0.748,
2003-10,0.748,
2004-01,0.740,
2004-04,0.705,
2004-07,0.692,
2004-10,0.689,
2005-01,0.699,
2005-04,0.678,
2005-07,0.673,
2005-10,0.695,
2006-01,0.735,
2006-04,0.738,
2006-07,0.748,
2006-10,0.767,
2007-01,0.795,
2007-04,0.791,
2007-07,0.821,
2007-10,0.902,
2008-01,0.949,
2008-04,0.945,
2008-07,0.976,
2008-10,1.132,
2009-01,0.998,
2009-04,0.892,
2009-07,0.813,
2009-10,0.735,
2010-01,0.710,
2010-04,0.654,
2010-07,0.635,
2010-10,0.643,
2011-01,0.647,
2011-04,0.639,
2011-07,0.696,
2011-10,0.689,
2012-01,0.671,
2012-04,0.662,
2012-07,0.620,
2012-10,0.561,
2013-01,0.531,
2013-04,0.502,
2013-07,0.468,
2013-10,0.459,
2014-01,0.434,
2014-04,0.428,
2014-07,0.410,
