"",BBK01.OEAD39G,BBK01.OEAD39G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:41,
2002-01,0.557,
2002-04,0.540,
2002-07,0.570,
2002-10,0.533,
2003-01,0.511,
2003-04,0.500,
2003-07,0.498,
2003-10,0.511,
2004-01,0.495,
2004-04,0.497,
2004-07,0.492,
2004-10,0.459,
2005-01,0.438,
2005-04,0.439,
2005-07,0.425,
2005-10,0.413,
2006-01,0.395,
2006-04,0.384,
2006-07,0.358,
2006-10,0.348,
2007-01,0.330,
2007-04,0.365,
2007-07,0.361,
2007-10,0.366,
2008-01,0.363,
2008-04,0.367,
2008-07,0.401,
2008-10,0.382,
2009-01,0.383,
2009-04,0.405,
2009-07,0.421,
2009-10,0.402,
2010-01,0.372,
2010-04,0.354,
2010-07,0.348,
2010-10,0.338,
2011-01,0.332,
2011-04,0.332,
2011-07,0.331,
2011-10,0.326,
2012-01,0.332,
2012-04,0.333,
2012-07,0.285,
2012-10,0.294,
2013-01,0.286,
2013-04,0.313,
2013-07,0.307,
2013-10,0.305,
2014-01,0.306,
2014-04,0.317,
2014-07,0.318,
