"",BBK01.OEAF08O,BBK01.OEAF08O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:55,
2002-01,0.464,
2002-04,0.465,
2002-07,0.495,
2002-10,0.482,
2003-01,0.466,
2003-04,0.433,
2003-07,0.411,
2003-10,0.453,
2004-01,0.457,
2004-04,0.451,
2004-07,0.450,
2004-10,0.465,
2005-01,0.435,
2005-04,0.463,
2005-07,0.498,
2005-10,0.521,
2006-01,0.548,
2006-04,0.534,
2006-07,0.558,
2006-10,0.571,
2007-01,0.587,
2007-04,0.548,
2007-07,0.563,
2007-10,0.561,
2008-01,0.554,
2008-04,0.611,
2008-07,0.610,
2008-10,0.559,
2009-01,0.569,
2009-04,0.562,
2009-07,0.561,
2009-10,0.573,
2010-01,0.563,
2010-04,0.562,
2010-07,0.563,
2010-10,0.569,
2011-01,0.570,
2011-04,0.567,
2011-07,0.561,
2011-10,0.501,
2012-01,0.539,
2012-04,0.530,
2012-07,0.527,
2012-10,0.546,
2013-01,0.525,
2013-04,0.535,
2013-07,0.526,
2013-10,0.530,
2014-01,0.549,
2014-04,0.543,
2014-07,0.530,
