"",BBDE1.Q.DE.Y.LCA1.P2XO00100.A.L.I08.A1,BBDE1.Q.DE.Y.LCA1.P2XO00100.A.L.I08.A1_FLAGS
"",Index of labour costs / Germany / Section O-S - Non-market service activities / Caldendar and seasonally adjusted / (With 3 decimal places),
unit,2008=100 (hypothetically euro-based),
unit multiplier,one,
last update,2014-12-09 08:05:10,
1996-01,85.342,
1996-04,84.485,
1996-07,84.928,
1996-10,86.186,
1997-01,86.875,
1997-04,87.251,
1997-07,86.342,
1997-10,88.042,
1998-01,87.949,
1998-04,88.891,
1998-07,89.337,
1998-10,89.643,
1999-01,89.581,
1999-04,91.570,
1999-07,91.968,
1999-10,91.954,
2000-01,91.949,
2000-04,91.858,
2000-07,94.476,
2000-10,94.136,
2001-01,94.408,
2001-04,94.102,
2001-07,94.684,
2001-10,96.172,
2002-01,96.733,
2002-04,96.483,
2002-07,96.408,
2002-10,97.787,
2003-01,97.754,
2003-04,97.398,
2003-07,99.317,
2003-10,98.408,
2004-01,98.262,
2004-04,98.884,
2004-07,99.080,
2004-10,98.470,
2005-01,98.144,
2005-04,98.376,
2005-07,97.505,
2005-10,97.289,
2006-01,97.473,
2006-04,97.490,
2006-07,97.399,
2006-10,98.144,
2007-01,97.363,
2007-04,97.277,
2007-07,97.958,
2007-10,98.585,
2008-01,99.785,
2008-04,99.350,
2008-07,100.412,
2008-10,100.454,
2009-01,103.991,
2009-04,104.583,
2009-07,104.708,
2009-10,103.487,
2010-01,105.151,
2010-04,104.995,
2010-07,105.209,
2010-10,104.630,
2011-01,107.008,
2011-04,107.882,
2011-07,108.255,
2011-10,107.805,
2012-01,109.160,
2012-04,109.993,
2012-07,111.176,
2012-10,112.800,
2013-01,113.353,
2013-04,113.896,
2013-07,113.257,
2013-10,114.504,
2014-01,114.233,
2014-04,115.245,
2014-07,116.386,
