"",BBK01.WZ3331,BBK01.WZ3331_FLAGS
"",Term structure of interest rates on Pfandbriefe (method by Svensson) / residual maturity of 11.0 years / end of month,
unit,PROZENT (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-02 10:10:51,
2000-01,6.17,
2000-02,6.02,
2000-03,5.95,
2000-04,6.10,
2000-05,5.99,
2000-06,6.02,
2000-07,6.03,
2000-08,6.08,
2000-09,6.06,
2000-10,6.01,
2000-11,5.82,
2000-12,5.67,
2001-01,5.61,
2001-02,5.56,
2001-03,5.63,
2001-04,5.77,
2001-05,5.77,
2001-06,5.76,
2001-07,5.61,
2001-08,5.60,
2001-09,5.40,
2001-10,5.20,
2001-11,5.38,
2001-12,5.48,
2002-01,5.50,
2002-02,5.66,
2002-03,5.69,
2002-04,5.69,
2002-05,5.57,
2002-06,5.46,
2002-07,5.27,
2002-08,5.08,
2002-09,5.02,
2002-10,5.16,
2002-11,4.99,
2002-12,4.84,
2003-01,4.65,
2003-02,4.66,
2003-03,4.81,
2003-04,4.52,
2003-05,4.30,
2003-06,4.53,
2003-07,4.71,
2003-08,4.72,
2003-09,4.73,
2003-10,4.87,
2003-11,4.84,
2003-12,4.74,
2004-01,4.79,
2004-02,4.63,
2004-03,4.56,
2004-04,4.75,
2004-05,4.80,
2004-06,4.68,
2004-07,4.77,
2004-08,4.61,
2004-09,4.54,
2004-10,4.44,
2004-11,4.31,
2004-12,4.17,
2005-01,4.01,
2005-02,4.13,
2005-03,4.09,
2005-04,3.87,
2005-05,3.80,
2005-06,3.63,
2005-07,3.67,
2005-08,3.57,
2005-09,3.54,
2005-10,3.78,
2005-11,3.82,
2005-12,3.77,
2006-01,3.85,
2006-02,3.88,
2006-03,4.14,
2006-04,4.34,
2006-05,4.29,
2006-06,4.42,
2006-07,4.32,
2006-08,4.27,
2006-09,4.14,
2006-10,4.14,
2006-11,4.09,
2006-12,4.14,
2007-01,4.42,
2007-02,4.28,
2007-03,4.38,
2007-04,4.53,
2007-05,4.69,
2007-06,4.89,
2007-07,4.81,
2007-08,4.68,
2007-09,4.77,
2007-10,4.65,
2007-11,4.68,
2007-12,4.86,
2008-01,4.61,
2008-02,4.63,
2008-03,4.62,
2008-04,4.79,
2008-05,4.92,
2008-06,5.06,
2008-07,5.03,
2008-08,4.84,
2008-09,4.86,
2008-10,4.68,
2008-11,4.42,
2008-12,4.31,
2009-01,4.50,
2009-02,4.39,
2009-03,4.42,
2009-04,4.47,
2009-05,4.70,
2009-06,4.55,
2009-07,4.44,
2009-08,4.24,
2009-09,4.21,
2009-10,4.24,
2009-11,4.15,
2009-12,4.24,
2010-01,4.17,
2010-02,4.03,
2010-03,3.98,
2010-04,3.89,
2010-05,3.70,
2010-06,3.66,
2010-07,3.70,
2010-08,3.11,
2010-09,3.32,
2010-10,3.56,
2010-11,3.80,
2010-12,4.00,
2011-01,4.07,
2011-02,4.10,
2011-03,4.24,
2011-04,4.22,
2011-05,4.03,
2011-06,4.10,
2011-07,3.92,
2011-08,3.70,
2011-09,3.49,
2011-10,3.65,
2011-11,3.73,
2011-12,3.42,
2012-01,3.34,
2012-02,3.26,
2012-03,3.33,
2012-04,3.24,
2012-05,2.65,
2012-06,2.97,
2012-07,2.73,
2012-08,2.58,
2012-09,2.47,
2012-10,2.68,
2012-11,2.60,
2012-12,2.32,
2013-01,2.52,
2013-02,2.58,
2013-03,2.51,
2013-04,2.20,
2013-05,2.39,
2013-06,2.62,
2013-07,2.54,
2013-08,2.77,
2013-09,2.70,
2013-10,2.63,
2013-11,2.61,
2013-12,2.76,
2014-01,2.51,
2014-02,2.38,
2014-03,2.33,
2014-04,2.26,
2014-05,2.02,
2014-06,1.86,
2014-07,1.75,
2014-08,1.45,
2014-09,1.51,
2014-10,1.37,
2014-11,1.18,
2014-12,1.07,
2015-01,0.94,
