"",BBDA1.M.DE.Y.IM.S.A.US.A.V.ABA.A,BBDA1.M.DE.Y.IM.S.A.US.A.V.ABA.A_FLAGS
"","Germany / Imports / At current prices, flows / Aggregate / all goods / United States / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 10:59:33,
1990-07,1.51,
1990-08,1.68,
1990-09,1.53,
1990-10,1.58,
1990-11,1.54,
1990-12,1.49,
1991-01,1.67,
1991-02,1.61,
1991-03,1.56,
1991-04,1.96,
1991-05,1.93,
1991-06,1.81,
1991-07,2.19,
1991-08,1.85,
1991-09,1.92,
1991-10,1.69,
1991-11,1.87,
1991-12,1.61,
1992-01,2.23,
1992-02,1.70,
1992-03,1.94,
1992-04,1.84,
1992-05,1.72,
1992-06,1.59,
1992-07,1.89,
1992-08,1.71,
1992-09,1.64,
1992-10,1.67,
1992-11,1.75,
1992-12,1.89,
1993-01,1.61,
1993-02,1.78,
1993-03,1.77,
1993-04,1.78,
1993-05,1.68,
1993-06,1.64,
1993-07,1.67,
1993-08,1.75,
1993-09,1.65,
1993-10,1.68,
1993-11,1.73,
1993-12,1.83,
1994-01,2.00,
1994-02,1.72,
1994-03,1.86,
1994-04,1.89,
1994-05,1.88,
1994-06,1.91,
1994-07,1.93,
1994-08,1.85,
1994-09,1.75,
1994-10,2.05,
1994-11,1.95,
1994-12,2.03,
1995-01,1.90,
1995-02,1.99,
1995-03,1.89,
1995-04,1.78,
1995-05,1.91,
1995-06,1.84,
1995-07,1.83,
1995-08,1.87,
1995-09,1.96,
1995-10,2.06,
1995-11,1.98,
1995-12,2.15,
1996-01,1.93,
1996-02,1.97,
1996-03,2.08,
1996-04,2.01,
1996-05,2.07,
1996-06,2.20,
1996-07,2.15,
1996-08,2.20,
1996-09,2.17,
1996-10,2.16,
1996-11,2.28,
1996-12,2.16,
1997-01,2.43,
1997-02,2.14,
1997-03,2.35,
1997-04,2.83,
1997-05,2.52,
1997-06,2.30,
1997-07,2.62,
1997-08,2.55,
1997-09,2.65,
1997-10,2.63,
1997-11,2.69,
1997-12,2.57,
1998-01,2.81,
1998-02,2.91,
1998-03,2.84,
1998-04,2.85,
1998-05,2.79,
1998-06,2.90,
1998-07,2.95,
1998-08,2.91,
1998-09,3.00,
1998-10,2.80,
1998-11,2.78,
1998-12,3.32,
1999-01,2.62,
1999-02,3.13,
1999-03,2.97,
1999-04,3.15,
1999-05,3.07,
1999-06,3.00,
1999-07,3.08,
1999-08,3.10,
1999-09,3.20,
1999-10,3.12,
1999-11,2.98,
1999-12,3.16,
2000-01,3.40,
2000-02,3.27,
2000-03,3.90,
2000-04,3.60,
2000-05,4.03,
2000-06,3.86,
2000-07,3.96,
2000-08,3.98,
2000-09,3.75,
2000-10,4.27,
2000-11,4.44,
2000-12,4.66,
2001-01,4.28,
2001-02,4.26,
2001-03,4.05,
2001-04,3.74,
2001-05,4.05,
2001-06,4.03,
2001-07,3.96,
2001-08,3.88,
2001-09,3.28,
2001-10,3.52,
2001-11,3.67,
2001-12,3.39,
2002-01,3.11,
2002-02,3.39,
2002-03,3.58,
2002-04,3.59,
2002-05,3.23,
2002-06,3.59,
2002-07,3.07,
2002-08,3.34,
2002-09,3.18,
2002-10,3.34,
2002-11,3.93,
2002-12,3.16,
2003-01,3.63,
2003-02,3.26,
2003-03,3.42,
2003-04,3.31,
2003-05,3.26,
2003-06,3.28,
2003-07,3.17,
2003-08,3.43,
2003-09,3.29,
2003-10,3.24,
2003-11,3.05,
2003-12,3.05,
2004-01,3.23,
2004-02,2.96,
2004-03,2.98,
2004-04,3.48,
2004-05,3.83,
2004-06,3.57,
2004-07,3.41,
2004-08,3.17,
2004-09,3.47,
2004-10,3.47,
2004-11,3.49,
2004-12,3.32,
2005-01,3.35,
2005-02,3.35,
2005-03,3.00,
2005-04,3.38,
2005-05,3.47,
2005-06,3.51,
2005-07,3.42,
2005-08,3.74,
2005-09,3.36,
2005-10,4.07,
2005-11,3.48,
2005-12,3.48,
2006-01,3.94,
2006-02,4.15,
2006-03,3.77,
2006-04,3.86,
2006-05,3.95,
2006-06,3.90,
2006-07,4.15,
2006-08,4.09,
2006-09,4.26,
2006-10,4.61,
2006-11,4.01,
2006-12,4.62,
2007-01,3.92,
2007-02,4.14,
2007-03,3.70,
2007-04,4.04,
2007-05,3.76,
2007-06,3.83,
2007-07,3.44,
2007-08,3.90,
2007-09,4.07,
2007-10,3.63,
2007-11,3.82,
2007-12,4.01,
2008-01,3.71,
2008-02,3.74,
2008-03,3.92,
2008-04,3.72,
2008-05,3.73,
2008-06,3.78,
2008-07,3.99,
2008-08,3.77,
2008-09,3.94,
2008-10,3.67,
2008-11,4.04,
2008-12,4.41,
2009-01,3.70,
2009-02,3.71,
2009-03,3.89,
2009-04,3.11,
2009-05,3.28,
2009-06,2.91,
2009-07,3.05,
2009-08,2.96,
2009-09,3.09,
2009-10,2.96,
2009-11,3.25,
2009-12,3.34,
2010-01,3.66,
2010-02,2.99,
2010-03,3.65,
2010-04,3.33,
2010-05,3.61,
2010-06,4.01,
2010-07,4.03,
2010-08,3.97,
2010-09,3.96,
2010-10,3.73,
2010-11,4.17,
2010-12,3.87,
2011-01,4.17,
2011-02,4.10,
2011-03,3.93,
2011-04,3.84,
2011-05,4.32,
2011-06,3.84,
2011-07,3.78,
2011-08,3.97,
2011-09,3.81,
2011-10,4.30,
2011-11,4.05,
2011-12,4.21,
2012-01,3.99,
2012-02,4.16,
2012-03,4.26,
2012-04,4.21,
2012-05,4.35,
2012-06,4.48,
2012-07,4.39,
2012-08,4.37,
2012-09,4.37,
2012-10,4.45,
2012-11,4.07,
2012-12,4.10,
2013-01,4.34,
2013-02,3.76,
2013-03,4.34,
2013-04,3.74,
2013-05,4.44,
2013-06,3.97,
2013-07,3.98,
2013-08,4.05,
2013-09,4.10,
2013-10,4.10,
2013-11,4.16,
2013-12,3.85,
2014-01,3.95,
2014-02,4.22,
2014-03,4.15,
2014-04,4.02,
2014-05,4.03,
2014-06,4.37,
2014-07,3.72,
2014-08,4.38,
2014-09,4.03,
2014-10,4.04,
2014-11,3.77,
2014-12,4.15,
