"",BBDA1.M.DE.N.IM.S.A.DK.A.V.ABA.A,BBDA1.M.DE.N.IM.S.A.DK.A.V.ABA.A_FLAGS
"","Imports / At current prices, flows / Aggregate / all goods / Denmark / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:22,
1990-07,414042,
1990-08,507832,
1990-09,487583,
1990-10,618041,
1990-11,598806,
1990-12,565268,
1991-01,538806,
1991-02,496518,
1991-03,583596,
1991-04,511153,
1991-05,603233,
1991-06,558395,
1991-07,536594,
1991-08,555333,
1991-09,581501,
1991-10,595830,
1991-11,647853,
1991-12,634357,
1992-01,513424,
1992-02,603251,
1992-03,625231,
1992-04,630941,
1992-05,603628,
1992-06,545644,
1992-07,635810,
1992-08,545675,
1992-09,594435,
1992-10,678206,
1992-11,625424,
1992-12,742648,
1993-01,449267,
1993-02,387760,
1993-03,471696,
1993-04,387638,
1993-05,471484,
1993-06,460440,
1993-07,372360,
1993-08,469079,
1993-09,457914,
1993-10,449827,
1993-11,509475,
1993-12,507386,
1994-01,406236,
1994-02,416242,
1994-03,508884,
1994-04,451880,
1994-05,484420,
1994-06,509176,
1994-07,480858,
1994-08,440289,
1994-09,494902,
1994-10,479394,
1994-11,529366,
1994-12,679954,
1995-01,485723,
1995-02,555800,
1995-03,606336,
1995-04,491328,
1995-05,540189,
1995-06,574160,
1995-07,486590,
1995-08,511152,
1995-09,599723,
1995-10,565122,
1995-11,550989,
1995-12,569672,
1996-01,541308,
1996-02,487580,
1996-03,505582,
1996-04,561169,
1996-05,554769,
1996-06,572234,
1996-07,567427,
1996-08,517118,
1996-09,567660,
1996-10,619432,
1996-11,549257,
1996-12,623941,
1997-01,538864,
1997-02,613885,
1997-03,574009,
1997-04,524398,
1997-05,593937,
1997-06,607642,
1997-07,609138,
1997-08,613685,
1997-09,620040,
1997-10,811446,
1997-11,652890,
1997-12,732483,
1998-01,642962,
1998-02,592983,
1998-03,626681,
1998-04,622090,
1998-05,510112,
1998-06,588507,
1998-07,627593,
1998-08,536799,
1998-09,566640,
1998-10,649738,
1998-11,578026,
1998-12,554334,
1999-01,556925,
