"",BBFB1.M.N.DE.W1.S13.S1.T.L.FA.P.F._Z._T._X.N,BBFB1.M.N.DE.W1.S13.S1.T.L.FA.P.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / General government / Portfolio investment / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:52:48,
1991-01,2152.630,
1991-02,4301.390,
1991-03,-4438.642,
1991-04,-866.070,
1991-05,2733.948,
1991-06,214.227,
1991-07,2375.027,
1991-08,3241.026,
1991-09,2262.796,
1991-10,4945.330,
1991-11,4494.335,
1991-12,2388.436,
1992-01,6133.619,
1992-02,-1020.046,
1992-03,-2323.561,
1992-04,-1028.973,
1992-05,1315.483,
1992-06,100.930,
1992-07,4669.578,
1992-08,3718.437,
1992-09,12938.179,
1992-10,6102.039,
1992-11,765.736,
1992-12,6145.032,
1993-01,12066.843,
1993-02,6653.482,
1993-03,10761.846,
1993-04,7025.242,
1993-05,6282.328,
1993-06,7888.176,
1993-07,6588.123,
1993-08,-1739.079,
1993-09,6341.895,
1993-10,7191.633,
1993-11,4446.975,
1993-12,12939.428,
1994-01,10144.452,
1994-02,-3620.787,
1994-03,-8586.902,
1994-04,-513.593,
1994-05,-1198.938,
1994-06,-5696.703,
1994-07,-468.574,
1994-08,81.161,
1994-09,-248.918,
1994-10,3054.334,
1994-11,7992.182,
1994-12,-5181.921,
1995-01,1093.793,
1995-02,-2898.977,
1995-03,4561.114,
1995-04,2689.560,
1995-05,4252.764,
1995-06,4156.350,
1995-07,-1408.446,
1995-08,5777.618,
1995-09,-952.452,
1995-10,-533.344,
1995-11,6861.490,
1995-12,-283.874,
1996-01,5441.933,
1996-02,-2283.212,
1996-03,-2069.778,
1996-04,687.809,
1996-05,3326.854,
1996-06,1989.182,
1996-07,5597.506,
1996-08,6479.469,
1996-09,584.196,
1996-10,-578.814,
1996-11,8664.319,
1996-12,2362.151,
1997-01,13033.799,
1997-02,3049.742,
1997-03,-4141.434,
1997-04,3115.292,
1997-05,7.953,
1997-06,6753.791,
1997-07,4791.699,
1997-08,-1598.195,
1997-09,5723.366,
1997-10,-2518.805,
1997-11,6992.795,
1997-12,8202.888,
1998-01,7556.579,
1998-02,1084.244,
1998-03,-4856.413,
1998-04,-576.609,
1998-05,-904.625,
1998-06,544.894,
1998-07,11597.088,
1998-08,11943.582,
1998-09,1443.461,
1998-10,-3981.605,
1998-11,9191.218,
1998-12,2770.110,
1999-01,4552.708,
1999-02,-3986.634,
1999-03,5752.443,
1999-04,7066.392,
1999-05,-5556.627,
1999-06,2042.787,
1999-07,9536.009,
1999-08,9666.060,
1999-09,-4916.419,
1999-10,-504.094,
1999-11,5549.889,
1999-12,3401.501,
2000-01,-2843.163,
2000-02,-618.084,
2000-03,2704.123,
2000-04,2350.485,
2000-05,5522.012,
2000-06,6855.230,
2000-07,4759.136,
2000-08,-374.350,
2000-09,5313.180,
2000-10,3983.718,
2000-11,-2228.507,
2000-12,-2835.284,
2001-01,-8534.072,
2001-02,4034.207,
2001-03,-2417.921,
2001-04,1392.111,
2001-05,-1590.343,
2001-06,4057.277,
2001-07,3014.252,
2001-08,5988.542,
2001-09,8209.256,
2001-10,12827.403,
2001-11,116.093,
2001-12,-12646.250,
2002-01,2820.077,
2002-02,476.735,
2002-03,8609.771,
2002-04,2097.076,
2002-05,2615.606,
2002-06,17541.046,
2002-07,10278.680,
2002-08,1218.926,
2002-09,4204.191,
2002-10,1531.199,
2002-11,6591.163,
2002-12,-6709.771,
2003-01,6330.494,
2003-02,151.793,
2003-03,7063.966,
2003-04,1243.886,
2003-05,4721.227,
2003-06,7736.867,
2003-07,-4088.667,
2003-08,1700.878,
2003-09,-4630.286,
2003-10,14080.221,
2003-11,-6645.163,
2003-12,-4129.716,
2004-01,22203.246,
2004-02,-4479.422,
2004-03,3083.785,
2004-04,5895.036,
2004-05,853.912,
2004-06,-10563.544,
2004-07,15278.750,
2004-08,11302.538,
2004-09,-7699.914,
2004-10,11529.443,
2004-11,1427.209,
2004-12,-3760.245,
2005-01,15597.900,
2005-02,5461.336,
2005-03,-3871.087,
2005-04,11863.741,
2005-05,-5894.805,
2005-06,19019.179,
2005-07,10841.502,
2005-08,-4400.292,
2005-09,11856.751,
2005-10,-2731.728,
2005-11,11392.224,
2005-12,5888.426,
2006-01,12583.280,
2006-02,-5717.737,
2006-03,13716.556,
2006-04,4133.370,
2006-05,-6851.503,
2006-06,2923.514,
2006-07,12714.165,
2006-08,-6081.205,
2006-09,3320.384,
2006-10,8887.247,
2006-11,8758.741,
2006-12,2536.799,
2007-01,2728.753,
2007-02,-10034.746,
2007-03,2212.353,
2007-04,10108.609,
2007-05,9434.568,
2007-06,8595.240,
2007-07,1871.212,
2007-08,-1413.047,
2007-09,2622.890,
2007-10,18763.067,
2007-11,17387.669,
2007-12,-2608.748,
2008-01,11533.615,
2008-02,-13536.020,
2008-03,6717.070,
2008-04,-9297.505,
2008-05,13229.081,
2008-06,22108.763,
2008-07,-2233.950,
2008-08,11246.168,
2008-09,11385.816,
2008-10,-16528.560,
2008-11,8792.751,
2008-12,-509.542,
2009-01,10279.624,
2009-02,12347.927,
2009-03,9355.495,
2009-04,6099.706,
2009-05,30476.933,
2009-06,15716.433,
2009-07,-14544.977,
2009-08,7157.348,
2009-09,5227.991,
2009-10,-3176.002,
2009-11,13830.975,
2009-12,-8702.763,
2010-01,-291.558,
2010-02,14232.406,
2010-03,-7400.128,
2010-04,5280.279,
2010-05,11268.092,
2010-06,-10955.318,
2010-07,2775.265,
2010-08,12220.507,
2010-09,10533.963,
2010-10,21662.438,
2010-11,28863.388,
2010-12,-31993.387,
2011-01,5559.900,
2011-02,14113.697,
2011-03,10482.796,
2011-04,10264.546,
2011-05,21746.515,
2011-06,6644.440,
2011-07,-7619.241,
2011-08,22245.702,
2011-09,-571.993,
2011-10,-8810.746,
2011-11,12056.230,
2011-12,-6556.238,
2012-01,8328.595,
2012-02,28402.029,
2012-03,1686.289,
2012-04,2558.743,
2012-05,23351.366,
2012-06,-1326.065,
2012-07,1684.629,
2012-08,13370.187,
2012-09,-8689.351,
2012-10,3242.906,
2012-11,22351.911,
2012-12,-7009.814,
2013-01,-2116.537,
2013-02,9050.734,
2013-03,-4282.997,
2013-04,-9110.050,
2013-05,17447.604,
2013-06,-6305.164,
2013-07,-13657.039,
2013-08,8590.749,
2013-09,-175.578,
2013-10,754.331,
2013-11,16768.735,
2013-12,-9290.810,
2014-01,338.681,
2014-02,15532.304,Provisional value
2014-03,975.661,Provisional value
2014-04,-9376.958,Provisional value
2014-05,13971.930,Provisional value
2014-06,-1992.858,Provisional value
2014-07,-12582.225,Provisional value
2014-08,9002.212,Provisional value
2014-09,-3922.556,
2014-10,3252.701,
2014-11,10084.606,
2014-12,-8066.835,Provisional value
