"",BBK01.OEHI03T,BBK01.OEHI03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:42,
2002-01,1.008,
2002-04,0.969,
2002-07,0.939,
2002-10,0.973,
2003-01,0.959,
2003-04,0.883,
2003-07,0.848,
2003-10,0.850,
2004-01,0.846,
2004-04,0.826,
2004-07,0.809,
2004-10,0.795,
2005-01,0.773,
2005-04,0.794,
2005-07,0.812,
2005-10,0.792,
2006-01,0.791,
2006-04,0.778,
2006-07,0.807,
2006-10,0.840,
2007-01,0.822,
2007-04,0.795,
2007-07,0.826,
2007-10,0.819,
2008-01,0.869,
2008-04,0.918,
2008-07,0.967,
2008-10,1.022,
2009-01,0.878,
2009-04,0.774,
2009-07,0.658,
2009-10,0.542,
2010-01,0.510,
2010-04,0.501,
2010-07,0.444,
2010-10,0.447,
2011-01,0.456,
2011-04,0.449,
2011-07,0.493,
2011-10,0.426,
2012-01,0.387,
2012-04,0.386,
2012-07,0.374,
2012-10,0.348,
2013-01,0.314,
2013-04,0.313,
2013-07,0.299,
2013-10,0.296,
2014-01,0.308,
2014-04,0.286,
2014-07,0.269,
