"",BBK01.OEYJ04O,BBK01.OEYJ04O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:51,
2002-01,0.178,
2002-04,0.183,
2002-07,0.362,
2002-10,0.403,
2003-01,0.324,
2003-04,0.656,
2003-07,0.728,
2003-10,0.711,
2004-01,0.795,
2004-04,0.227,
2004-07,0.398,
2004-10,0.409,
2005-01,0.324,
2005-04,0.341,
2005-07,0.430,
2005-10,0.354,
2006-01,0.662,
2006-04,0.493,
2006-07,0.740,
2006-10,0.520,
2007-01,0.350,
2007-04,0.340,
2007-07,0.539,
2007-10,1.222,
2008-01,1.211,
2008-04,1.273,
2008-07,0.470,
2008-10,0.407,
2009-01,0.379,
2009-04,0.341,
2009-07,0.605,
2009-10,0.663,
2010-01,0.657,
2010-04,0.589,
2010-07,0.741,
2010-10,0.790,
2011-01,0.736,
2011-04,0.907,
2011-07,1.186,
2011-10,1.280,
2012-01,1.316,
2012-04,1.147,
2012-07,1.194,
2012-10,1.010,
2013-01,0.662,
2013-04,0.879,
2013-07,0.736,
2013-10,0.661,
2014-01,0.539,
2014-04,0.443,
2014-07,0.458,
