"",BBK01.OEAA09M,BBK01.OEAA09M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:41,
2002-01,222.550,
2002-04,219.140,
2002-07,219.913,
2002-10,220.988,
2003-01,223.998,
2003-04,235.325,
2003-07,237.360,
2003-10,236.863,
2004-01,236.219,
2004-04,237.602,
2004-07,235.490,
2004-10,232.613,
2005-01,239.131,
2005-04,240.647,
2005-07,239.809,
2005-10,238.903,
2006-01,240.915,
2006-04,243.595,
2006-07,235.889,
2006-10,236.641,
2007-01,239.626,
2007-04,237.632,
2007-07,239.980,
2007-10,241.151,
2008-01,240.555,
2008-04,240.766,
2008-07,241.162,
2008-10,242.085,
2009-01,244.396,
2009-04,247.214,
2009-07,247.806,
2009-10,247.634,
2010-01,249.299,
2010-04,246.730,
2010-07,247.855,
2010-10,250.443,
2011-01,250.024,
2011-04,252.136,
2011-07,253.588,
2011-10,255.853,
2012-01,254.185,
2012-04,258.665,
2012-07,259.819,
2012-10,260.427,
2013-01,258.920,
2013-04,259.846,
2013-07,259.058,
2013-10,259.354,
2014-01,257.668,
2014-04,257.388,
2014-07,259.419,
