"",BBEX3.M.MGA.EUR.CA.AC.A01,BBEX3.M.MGA.EUR.CA.AC.A01_FLAGS
"",Exchange rates for the euro in Madagascar / EUR 1 = MGA ... (middle),
unit,MGA (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:06,
2003-08,1361.40,
2003-09,1408.20,
2003-10,1410.00,
2003-11,1504.40,
2003-12,1524.40,
2004-01,1673.00,
2004-02,1764.40,
2004-03,2161.20,
2004-04,2254.40,
2004-05,2789.40,
2004-06,2515.20,
2004-07,2474.80,
2004-08,2464.80,
2004-09,2553.40,
2004-10,2620.20,
2004-11,2557.20,
2004-12,2534.40,
2005-01,2452.70,
2005-02,2499.50,
2005-03,2522.36,
2005-04,2480.39,
2005-05,2473.88,
2005-06,2438.40,
2005-07,2462.55,
2005-08,2457.90,
2005-09,2508.35,
2005-10,2554.43,
2005-11,2558.98,
2005-12,2559.29,
2006-01,2595.21,
2006-02,2607.75,
2006-03,2662.02,
2006-04,2719.87,
2006-05,2784.96,
2006-06,2749.55,
2006-07,2733.06,
2006-08,2730.55,
2006-09,2697.99,
2006-10,2692.91,
2006-11,2693.60,
2006-12,2650.13,
2007-01,2648.52,
2007-02,2637.38,
2007-03,2597.49,
2007-04,2500.53,
2007-05,2483.04,
2007-06,2482.58,
2007-07,2513.36,
2007-08,2515.49,
2007-09,2601.26,
2007-10,2595.24,
2007-11,2611.76,
2007-12,2603.34,
2008-01,2636.65,
2008-02,2755.66,
2008-03,2628.62,
2008-04,2542.26,
2008-05,2508.87,
2008-06,2499.11,
2008-07,2458.44,
2008-08,2385.84,
2008-09,2382.68,
2008-10,2369.74,
2008-11,2357.93,
2008-12,2629.22,
2009-01,2502.11,
2009-02,2440.92,
2009-03,2605.77,
2009-04,2754.68,
2009-05,2703.55,
2009-06,2725.42,
2009-07,2719.26,
2009-08,2743.58,
2009-09,2890.44,
2009-10,2929.43,
2009-11,2900.36,
2009-12,2795.52,
2010-01,2945.54,
2010-02,2963.51,
2010-03,2835.27,
2010-04,2702.56,
2010-05,2625.67,
2010-06,2759.84,
2010-07,2830.02,
2010-08,2554.93,
2010-09,2738.36,
2010-10,2764.17,
2010-11,2703.69,
2010-12,2840.46,
2011-01,2801.30,
2011-02,2758.17,
2011-03,2841.69,
2011-04,2874.08,
2011-05,2811.29,
2011-06,2804.92,
2011-07,2814.73,
2011-08,2832.84,
2011-09,2801.52,
2011-10,2971.30,
2011-11,2805.58,
2011-12,2912.14,
2012-01,2868.18,
2012-02,2897.30,
2012-03,2805.19,
2012-04,2740.56,
2012-05,2648.15,
2012-06,2774.88,
2012-07,2783.47,
2012-08,2815.94,
2012-09,2849.53,
2012-10,2862.59,
2012-11,2922.78,
2012-12,2980.74,
2013-01,2964.78,
2013-02,2895.78,
2013-03,2874.49,
2013-04,2846.62,
2013-05,2858.11,
2013-06,2860.59,
2013-07,2879.41,
2013-08,2884.79,
2013-09,2913.80,
2013-10,2987.28,
2013-11,3042.00,
2013-12,3077.26,
2014-01,3105.71,
2014-02,3191.21,
2014-03,3207.77,
2014-04,3211.12,
2014-05,3193.45,
2014-06,3222.81,
2014-07,3299.70,
2014-08,3249.57,
2014-09,3176.35,
2014-10,3200.11,
2014-11,3251.72,
2014-12,3167.33,
2015-01,2964.36,
"","General: On 31 July 2003, the ariary (MGA) was introduced as a new currency alongside the Madagascar franc (MGF) at a rate of MGF 5 = MGA 1. Since this date, banknotes denominated in ariary have been in circulation as legal tender alongside the Madagascar franc. Until the end of 2004, all prices appeared in both currencies; since 1 January 2005, the ariaryhas been the sole legal tender.",
"","Source: Banque Centrale de Madagascar, Antananarivo.",
