"",BBK01.OEAA02O,BBK01.OEAA02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:25,
2002-01,11.585,
2002-04,11.433,
2002-07,11.625,
2002-10,11.625,
2003-01,13.557,
2003-04,9.874,
2003-07,10.225,
2003-10,10.012,
2004-01,10.106,
2004-04,9.710,
2004-07,9.847,
2004-10,9.855,
2005-01,12.650,
2005-04,12.259,
2005-07,12.162,
2005-10,12.031,
2006-01,12.876,
2006-04,12.338,
2006-07,12.859,
2006-10,12.396,
2007-01,12.510,
2007-04,12.528,
2007-07,13.577,
2007-10,12.969,
2008-01,13.710,
2008-04,13.324,
2008-07,12.544,
2008-10,12.903,
2009-01,12.152,
2009-04,11.682,
2009-07,11.421,
2009-10,11.908,
2010-01,11.845,
2010-04,12.317,
2010-07,12.814,
2010-10,12.690,
2011-01,12.507,
2011-04,12.777,
2011-07,12.221,
2011-10,11.737,
2012-01,12.113,
2012-04,12.168,
2012-07,11.771,
2012-10,12.042,
2013-01,12.085,
2013-04,11.935,
2013-07,12.668,
2013-10,12.008,
2014-01,12.333,
2014-04,12.369,
2014-07,11.869,
