"",BBK01.OEAC30J,BBK01.OEAC30J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:44,
2002-01,0.129,
2002-04,0.127,
2002-07,0.129,
2002-10,0.100,
2003-01,0.106,
2003-04,0.103,
2003-07,0.088,
2003-10,0.089,
2004-01,0.084,
2004-04,0.079,
2004-07,0.079,
2004-10,0.072,
2005-01,0.076,
2005-04,0.075,
2005-07,0.065,
2005-10,0.065,
2006-01,0.068,
2006-04,0.072,
2006-07,0.072,
2006-10,0.066,
2007-01,0.066,
2007-04,0.078,
2007-07,0.069,
2007-10,0.075,
2008-01,0.085,
2008-04,0.087,
2008-07,0.088,
2008-10,0.087,
2009-01,0.095,
2009-04,0.104,
2009-07,0.094,
2009-10,0.070,
2010-01,0.045,
2010-04,0.090,
2010-07,0.078,
2010-10,0.076,
2011-01,0.090,
2011-04,0.078,
2011-07,0.084,
2011-10,0.073,
2012-01,0.075,
2012-04,0.066,
2012-07,0.065,
2012-10,0.069,
2013-01,0.074,
2013-04,0.077,
2013-07,0.095,
2013-10,0.094,
2014-01,0.083,
2014-04,0.089,
2014-07,0.084,
