"",BBK01.OEAA10Q,BBK01.OEAA10Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:19:13,
2002-01,10.438,
2002-04,10.083,
2002-07,10.212,
2002-10,11.263,
2003-01,11.114,
2003-04,11.765,
2003-07,12.352,
2003-10,11.894,
2004-01,11.351,
2004-04,9.749,
2004-07,9.465,
2004-10,9.264,
2005-01,9.454,
2005-04,9.902,
2005-07,9.456,
2005-10,9.127,
2006-01,9.388,
2006-04,9.491,
2006-07,9.235,
2006-10,8.651,
2007-01,8.842,
2007-04,8.844,
2007-07,8.868,
2007-10,8.886,
2008-01,8.790,
2008-04,11.801,
2008-07,10.340,
2008-10,7.719,
2009-01,7.902,
2009-04,9.037,
2009-07,8.416,
2009-10,8.378,
2010-01,7.003,
2010-04,9.025,
2010-07,7.466,
2010-10,7.898,
2011-01,8.734,
2011-04,6.238,
2011-07,6.315,
2011-10,5.671,
2012-01,8.573,
2012-04,9.210,
2012-07,11.950,
2012-10,7.759,
2013-01,6.640,
2013-04,6.559,
2013-07,6.620,
2013-10,6.847,
2014-01,6.824,
2014-04,7.566,
2014-07,7.210,
