"",BBK01.OEBM02O,BBK01.OEBM02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:25,
2002-01,-0.022,
2002-04,-0.031,
2002-07,0.043,
2002-10,-0.198,
2003-01,-0.126,
2003-04,-,Nothing exists
2003-07,-0.215,
2003-10,-0.337,
2004-01,-0.380,
2004-04,-0.426,
2004-07,-0.576,
2004-10,-0.384,
2005-01,0.042,
2005-04,0.058,
2005-07,0.049,
2005-10,0.095,
2006-01,0.073,
2006-04,0.055,
2006-07,0.064,
2006-10,0.062,
2007-01,0.068,
2007-04,0.048,
2007-07,0.075,
2007-10,0.134,
2008-01,0.104,
2008-04,0.150,
2008-07,0.133,
2008-10,0.174,
2009-01,0.243,
2009-04,0.255,
2009-07,0.223,
2009-10,0.178,
2010-01,0.140,
2010-04,0.137,
2010-07,0.146,
2010-10,0.138,
2011-01,0.210,
2011-04,0.210,
2011-07,0.193,
2011-10,0.258,
2012-01,0.301,
2012-04,0.167,
2012-07,0.141,
2012-10,0.173,
2013-01,0.086,
2013-04,0.114,
2013-07,0.097,
2013-10,0.084,
2014-01,0.068,
2014-04,0.072,
2014-07,0.083,
