"",BBK01.OEHB11K,BBK01.OEHB11K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:40,
2002-01,0.997,
2002-04,0.948,
2002-07,0.922,
2002-10,0.890,
2003-01,0.852,
2003-04,0.854,
2003-07,0.797,
2003-10,0.774,
2004-01,0.732,
2004-04,0.777,
2004-07,0.743,
2004-10,0.817,
2005-01,0.778,
2005-04,0.714,
2005-07,0.720,
2005-10,0.746,
2006-01,0.698,
2006-04,0.714,
2006-07,0.690,
2006-10,0.675,
2007-01,0.566,
2007-04,0.574,
2007-07,0.641,
2007-10,0.695,
2008-01,0.708,
2008-04,0.750,
2008-07,0.824,
2008-10,0.842,
2009-01,0.891,
2009-04,0.990,
2009-07,1.158,
2009-10,1.218,
2010-01,1.328,
2010-04,1.327,
2010-07,1.405,
2010-10,1.452,
2011-01,1.528,
2011-04,1.547,
2011-07,1.614,
2011-10,1.637,
2012-01,1.594,
2012-04,1.612,
2012-07,1.752,
2012-10,1.750,
2013-01,1.774,
2013-04,1.774,
2013-07,1.887,
2013-10,1.890,
2014-01,1.888,
2014-04,1.859,
2014-07,1.842,
