"",BBK01.OEAG04G,BBK01.OEAG04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:11:12,
2002-01,14.366,
2002-04,13.980,
2002-07,14.178,
2002-10,14.229,
2003-01,14.873,
2003-04,15.384,
2003-07,15.689,
2003-10,15.650,
2004-01,16.164,
2004-04,15.764,
2004-07,15.478,
2004-10,15.045,
2005-01,12.603,
2005-04,13.840,
2005-07,13.780,
2005-10,13.455,
2006-01,13.840,
2006-04,13.098,
2006-07,13.611,
2006-10,13.336,
2007-01,12.975,
2007-04,12.482,
2007-07,12.464,
2007-10,11.783,
2008-01,10.864,
2008-04,11.103,
2008-07,11.824,
2008-10,12.330,
2009-01,12.794,
2009-04,14.292,
2009-07,13.158,
2009-10,12.748,
2010-01,13.153,
2010-04,13.024,
2010-07,13.143,
2010-10,12.915,
2011-01,12.665,
2011-04,12.839,
2011-07,13.005,
2011-10,12.368,
2012-01,13.631,
2012-04,12.711,
2012-07,13.544,
2012-10,11.838,
2013-01,11.590,
2013-04,11.073,
2013-07,8.502,
2013-10,8.441,
2014-01,8.538,
2014-04,8.300,
2014-07,8.173,
