"",BBK01.OEGB15I,BBK01.OEGB15I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:07:04,
2002-01,0.104,
2002-04,0.099,
2002-07,0.098,
2002-10,0.098,
2003-01,0.095,
2003-04,0.099,
2003-07,0.169,
2003-10,0.130,
2004-01,0.132,
2004-04,0.125,
2004-07,0.114,
2004-10,0.102,
2005-01,0.108,
2005-04,0.100,
2005-07,0.119,
2005-10,0.100,
2006-01,0.095,
2006-04,0.098,
2006-07,0.098,
2006-10,0.068,
2007-01,0.062,
2007-04,0.047,
2007-07,0.053,
2007-10,0.052,
2008-01,0.041,
2008-04,0.049,
2008-07,0.051,
2008-10,0.048,
2009-01,0.042,
2009-04,0.046,
2009-07,0.057,
2009-10,0.062,
2010-01,0.063,
2010-04,0.080,
2010-07,0.077,
2010-10,0.076,
2011-01,0.077,
2011-04,0.078,
2011-07,0.083,
2011-10,0.077,
2012-01,0.072,
2012-04,0.058,
2012-07,0.058,
2012-10,0.056,
2013-01,0.061,
2013-04,0.058,
2013-07,0.057,
2013-10,0.054,
2014-01,0.053,
2014-04,0.076,
2014-07,0.049,
