"",BBDE1.M.DE.Y.AEA1.A2Q501000.F.C.I10.A,BBDE1.M.DE.Y.AEA1.A2Q501000.F.C.I10.A_FLAGS
"",Orders received / At constant prices / Germany / Intermediate and capital goods / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:08,
1991-01,70.6,
1991-02,67.2,
1991-03,68.5,
1991-04,66.8,
1991-05,66.2,
1991-06,67.0,
1991-07,65.8,
1991-08,69.6,
1991-09,65.9,
1991-10,67.0,
1991-11,68.2,
1991-12,69.4,
1992-01,68.3,
1992-02,68.6,
1992-03,68.3,
1992-04,66.1,
1992-05,64.5,
1992-06,63.0,
1992-07,61.7,
1992-08,62.1,
1992-09,62.7,
1992-10,58.5,
1992-11,59.3,
1992-12,60.6,
1993-01,59.4,
1993-02,58.0,
1993-03,56.5,
1993-04,56.7,
1993-05,57.9,
1993-06,57.2,
1993-07,58.0,
1993-08,57.1,
1993-09,60.4,
1993-10,59.4,
1993-11,59.3,
1993-12,61.8,
1994-01,58.5,
1994-02,60.9,
1994-03,62.9,
1994-04,62.5,
1994-05,62.0,
1994-06,63.7,
1994-07,63.2,
1994-08,62.5,
1994-09,65.7,
1994-10,66.1,
1994-11,66.7,
1994-12,69.5,
1995-01,63.9,
1995-02,65.5,
1995-03,65.5,
1995-04,64.1,
1995-05,65.6,
1995-06,63.2,
1995-07,65.3,
1995-08,62.1,
1995-09,64.2,
1995-10,61.2,
1995-11,63.3,
1995-12,63.9,
1996-01,62.3,
1996-02,61.8,
1996-03,64.1,
1996-04,63.5,
1996-05,63.7,
1996-06,65.3,
1996-07,65.0,
1996-08,65.2,
1996-09,64.8,
1996-10,65.9,
1996-11,65.6,
1996-12,65.0,
1997-01,66.2,
1997-02,66.1,
1997-03,68.7,
1997-04,69.5,
1997-05,68.3,
1997-06,69.5,
1997-07,69.5,
1997-08,70.3,
1997-09,71.8,
1997-10,71.2,
1997-11,70.9,
1997-12,71.7,
1998-01,73.2,
1998-02,72.3,
1998-03,73.8,
1998-04,73.9,
1998-05,72.7,
1998-06,72.4,
1998-07,72.7,
1998-08,70.7,
1998-09,72.9,
1998-10,70.3,
1998-11,69.5,
1998-12,71.5,
1999-01,70.4,
1999-02,70.4,
1999-03,71.1,
1999-04,71.4,
1999-05,71.7,
1999-06,74.4,
1999-07,74.7,
1999-08,78.3,
1999-09,77.2,
1999-10,77.7,
1999-11,78.6,
1999-12,79.2,
2000-01,76.2,
2000-02,80.8,
2000-03,82.9,
2000-04,83.6,
2000-05,83.9,
2000-06,85.7,
2000-07,85.9,
2000-08,86.2,
2000-09,85.5,
2000-10,86.1,
2000-11,86.2,
2000-12,87.4,
2001-01,84.2,
2001-02,85.0,
2001-03,84.3,
2001-04,81.0,
2001-05,83.8,
2001-06,83.8,
2001-07,81.2,
2001-08,82.0,
2001-09,79.4,
2001-10,78.2,
2001-11,78.2,
2001-12,82.1,
2002-01,79.9,
2002-02,79.9,
2002-03,81.2,
2002-04,81.7,
2002-05,84.3,
2002-06,83.6,
2002-07,82.2,
2002-08,84.0,
2002-09,82.6,
2002-10,82.3,
2002-11,83.5,
2002-12,80.6,
2003-01,83.2,
2003-02,82.9,
2003-03,81.2,
2003-04,81.4,
2003-05,79.4,
2003-06,82.7,
2003-07,81.7,
2003-08,82.1,
2003-09,83.7,
2003-10,84.6,
2003-11,85.4,
2003-12,87.1,
2004-01,85.5,
2004-02,86.2,
2004-03,87.5,
2004-04,88.6,
2004-05,89.2,
2004-06,88.3,
2004-07,89.0,
2004-08,87.4,
2004-09,89.0,
2004-10,88.6,
2004-11,86.8,
2004-12,92.9,
2005-01,90.0,
2005-02,88.1,
2005-03,90.0,
2005-04,89.3,
2005-05,89.9,
2005-06,93.1,
2005-07,95.2,
2005-08,93.1,
2005-09,96.3,
2005-10,97.5,
2005-11,98.7,
2005-12,98.4,
2006-01,99.2,
2006-02,99.2,
2006-03,98.3,
2006-04,101.1,
2006-05,101.4,
2006-06,100.3,
2006-07,102.9,
2006-08,106.4,
2006-09,104.7,
2006-10,104.1,
2006-11,104.3,
2006-12,105.5,
2007-01,106.8,
2007-02,110.0,
2007-03,110.0,
2007-04,108.7,
2007-05,112.4,
2007-06,116.5,
2007-07,110.8,
2007-08,111.4,
2007-09,111.6,
2007-10,116.5,
2007-11,119.4,
2007-12,118.2,
2008-01,115.1,
2008-02,115.4,
2008-03,113.7,
2008-04,114.1,
2008-05,111.3,
2008-06,107.0,
2008-07,106.3,
2008-08,108.5,
2008-09,100.9,
2008-10,93.9,
2008-11,86.5,
2008-12,80.5,
2009-01,74.1,
2009-02,72.0,
2009-03,75.0,
2009-04,74.6,
2009-05,77.7,
2009-06,80.9,
2009-07,84.3,
2009-08,85.4,
2009-09,88.2,
2009-10,85.9,
2009-11,88.6,
2009-12,87.1,
2010-01,90.5,
2010-02,90.8,
2010-03,95.3,
2010-04,98.5,
2010-05,98.4,
2010-06,101.2,
2010-07,100.4,
2010-08,103.2,
2010-09,101.6,
2010-10,102.2,
2010-11,107.9,
2010-12,104.9,
2011-01,109.1,
2011-02,110.0,
2011-03,106.7,
2011-04,108.3,
2011-05,111.8,
2011-06,111.6,
2011-07,108.4,
2011-08,108.2,
2011-09,103.9,
2011-10,106.1,
2011-11,102.3,
2011-12,105.2,
2012-01,102.7,
2012-02,103.4,
2012-03,106.0,
2012-04,104.1,
2012-05,104.9,
2012-06,102.7,
2012-07,103.3,
2012-08,102.7,
2012-09,100.3,
2012-10,104.6,
2012-11,101.3,
2012-12,102.9,
2013-01,102.0,
2013-02,103.7,
2013-03,106.5,
2013-04,103.3,
2013-05,103.1,
2013-06,108.8,
2013-07,105.4,
2013-08,106.1,
2013-09,108.9,
2013-10,108.5,
2013-11,108.9,
2013-12,109.5,
2014-01,109.0,
2014-02,110.0,
2014-03,107.7,
2014-04,110.3,
2014-05,109.1,
2014-06,106.2,
2014-07,112.1,
2014-08,106.6,
2014-09,108.2,
2014-10,111.4,
2014-11,108.4,
2014-12,113.3,Provisional value
