"",BBK01.OELJ08Q,BBK01.OELJ08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:07,
2002-01,0.038,
2002-04,0.043,
2002-07,0.038,
2002-10,0.036,
2003-01,0.037,
2003-04,0.035,
2003-07,0.034,
2003-10,0.033,
2004-01,0.035,
2004-04,0.036,
2004-07,0.048,
2004-10,0.046,
2005-01,0.048,
2005-04,0.049,
2005-07,0.039,
2005-10,0.035,
2006-01,0.037,
2006-04,0.035,
2006-07,0.036,
2006-10,0.035,
2007-01,0.045,
2007-04,0.046,
2007-07,0.049,
2007-10,0.044,
2008-01,0.044,
2008-04,0.048,
2008-07,0.045,
2008-10,0.044,
2009-01,0.047,
2009-04,0.050,
2009-07,0.051,
2009-10,0.052,
2010-01,0.053,
2010-04,0.059,
2010-07,0.075,
2010-10,0.091,
2011-01,0.104,
2011-04,0.109,
2011-07,0.104,
2011-10,0.109,
2012-01,0.111,
2012-04,0.113,
2012-07,0.114,
2012-10,0.113,
2013-01,0.121,
2013-04,0.121,
2013-07,0.136,
2013-10,0.136,
2014-01,0.136,
2014-04,0.140,
2014-07,0.136,
