"",BBK01.OEAC08U,BBK01.OEAC08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:24,
2002-01,0.122,
2002-04,0.139,
2002-07,0.139,
2002-10,0.152,
2003-01,0.149,
2003-04,0.149,
2003-07,0.151,
2003-10,0.146,
2004-01,0.155,
2004-04,0.156,
2004-07,0.157,
2004-10,0.158,
2005-01,0.160,
2005-04,0.163,
2005-07,0.158,
2005-10,0.173,
2006-01,0.174,
2006-04,0.175,
2006-07,0.184,
2006-10,0.193,
2007-01,0.166,
2007-04,0.171,
2007-07,0.173,
2007-10,0.189,
2008-01,0.195,
2008-04,0.204,
2008-07,0.246,
2008-10,0.257,
2009-01,0.259,
2009-04,0.322,
2009-07,0.319,
2009-10,0.324,
2010-01,0.338,
2010-04,0.338,
2010-07,0.350,
2010-10,0.310,
2011-01,0.356,
2011-04,0.374,
2011-07,0.382,
2011-10,0.390,
2012-01,0.383,
2012-04,0.389,
2012-07,0.387,
2012-10,0.391,
2013-01,0.412,
2013-04,0.404,
2013-07,0.435,
2013-10,0.453,
2014-01,0.451,
2014-04,0.415,
2014-07,0.466,
