"",BBK01.OEAA15H,BBK01.OEAA15H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:15:48,
2002-01,399.764,
2002-04,397.105,
2002-07,397.305,
2002-10,396.586,
2003-01,393.069,
2003-04,391.183,
2003-07,388.424,
2003-10,393.843,
2004-01,387.619,
2004-04,385.015,
2004-07,382.604,
2004-10,376.858,
2005-01,377.264,
2005-04,373.898,
2005-07,373.102,
2005-10,371.235,
2006-01,370.397,
2006-04,366.865,
2006-07,365.111,
2006-10,361.731,
2007-01,357.751,
2007-04,354.819,
2007-07,351.896,
2007-10,343.779,
2008-01,341.200,
2008-04,338.943,
2008-07,337.540,
2008-10,333.064,
2009-01,328.946,
2009-04,298.775,
2009-07,304.346,
2009-10,305.071,
2010-01,302.251,
2010-04,304.053,
2010-07,304.280,
2010-10,306.078,
2011-01,305.072,
2011-04,306.431,
2011-07,309.143,
2011-10,311.372,
2012-01,311.776,
2012-04,315.695,
2012-07,316.726,
2012-10,317.570,
2013-01,318.587,
2013-04,320.306,
2013-07,319.471,
2013-10,320.348,
2014-01,320.202,
2014-04,321.259,
2014-07,324.666,
